"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"decals/ball_nigeria/desc";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"За выполнение достижений ""Охота за мячом"".
<color=@warningTextColor>Подробности на сайте www.warthunder.ru</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"“\t‘\t点\t’\t球\t大\t战\t”\t成\t就\t奖\t励\t
<color=@warningTextColor>\t登\t陆\t www.warthunder.com \t了\t解\t更\t多\t相\t关\t信\t息\t。\t</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";;
"decals/ball_panama/desc";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"За выполнение достижений ""Охота за мячом"".
<color=@warningTextColor>Подробности на сайте www.warthunder.ru</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"“\t‘\t点\t’\t球\t大\t战\t”\t成\t就\t奖\t励\t
<color=@warningTextColor>\t登\t陆\t www.warthunder.com \t了\t解\t更\t多\t相\t关\t信\t息\t。\t</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";;
"decals/ball_peru/desc";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"За выполнение достижений ""Охота за мячом"".
<color=@warningTextColor>Подробности на сайте www.warthunder.ru</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"“\t‘\t点\t’\t球\t大\t战\t”\t成\t就\t奖\t励\t
<color=@warningTextColor>\t登\t陆\t www.warthunder.com \t了\t解\t更\t多\t相\t关\t信\t息\t。\t</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";;
"decals/ball_poland/desc";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"За выполнение достижений ""Охота за мячом"".
<color=@warningTextColor>Подробности на сайте www.warthunder.ru</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"“\t‘\t点\t’\t球\t大\t战\t”\t成\t就\t奖\t励\t
<color=@warningTextColor>\t登\t陆\t www.warthunder.com \t了\t解\t更\t多\t相\t关\t信\t息\t。\t</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";;
"decals/ball_portugal/desc";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"За выполнение достижений ""Охота за мячом"".
<color=@warningTextColor>Подробности на сайте www.warthunder.ru</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"“\t‘\t点\t’\t球\t大\t战\t”\t成\t就\t奖\t励\t
<color=@warningTextColor>\t登\t陆\t www.warthunder.com \t了\t解\t更\t多\t相\t关\t信\t息\t。\t</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";;
"decals/ball_russia/desc";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"За выполнение достижений ""Охота за мячом"".
<color=@warningTextColor>Подробности на сайте www.warthunder.ru</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"“\t‘\t点\t’\t球\t大\t战\t”\t成\t就\t奖\t励\t
<color=@warningTextColor>\t登\t陆\t www.warthunder.com \t了\t解\t更\t多\t相\t关\t信\t息\t。\t</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";;
"decals/ball_saudi_arabia/desc";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"За выполнение достижений ""Охота за мячом"".
<color=@warningTextColor>Подробности на сайте www.warthunder.ru</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"“\t‘\t点\t’\t球\t大\t战\t”\t成\t就\t奖\t励\t
<color=@warningTextColor>\t登\t陆\t www.warthunder.com \t了\t解\t更\t多\t相\t关\t信\t息\t。\t</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";;
"decals/ball_senegal/desc";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"За выполнение достижений ""Охота за мячом"".
<color=@warningTextColor>Подробности на сайте www.warthunder.ru</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"“\t‘\t点\t’\t球\t大\t战\t”\t成\t就\t奖\t励\t
<color=@warningTextColor>\t登\t陆\t www.warthunder.com \t了\t解\t更\t多\t相\t关\t信\t息\t。\t</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";;
"decals/ball_serbia/desc";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"За выполнение достижений ""Охота за мячом"".
<color=@warningTextColor>Подробности на сайте www.warthunder.ru</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"“\t‘\t点\t’\t球\t大\t战\t”\t成\t就\t奖\t励\t
<color=@warningTextColor>\t登\t陆\t www.warthunder.com \t了\t解\t更\t多\t相\t关\t信\t息\t。\t</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";;
"decals/ball_south_korea/desc";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"За выполнение достижений ""Охота за мячом"".
<color=@warningTextColor>Подробности на сайте www.warthunder.ru</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"“\t‘\t点\t’\t球\t大\t战\t”\t成\t就\t奖\t励\t
<color=@warningTextColor>\t登\t陆\t www.warthunder.com \t了\t解\t更\t多\t相\t关\t信\t息\t。\t</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";;
"decals/ball_spain/desc";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"За выполнение достижений ""Охота за мячом"".
<color=@warningTextColor>Подробности на сайте www.warthunder.ru</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"“\t‘\t点\t’\t球\t大\t战\t”\t成\t就\t奖\t励\t
<color=@warningTextColor>\t登\t陆\t www.warthunder.com \t了\t解\t更\t多\t相\t关\t信\t息\t。\t</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";;
"decals/ball_sweden/desc";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"За выполнение достижений ""Охота за мячом"".
<color=@warningTextColor>Подробности на сайте www.warthunder.ru</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"“\t‘\t点\t’\t球\t大\t战\t”\t成\t就\t奖\t励\t
<color=@warningTextColor>\t登\t陆\t www.warthunder.com \t了\t解\t更\t多\t相\t关\t信\t息\t。\t</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";;
"decals/ball_swiss/desc";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"За выполнение достижений ""Охота за мячом"".
<color=@warningTextColor>Подробности на сайте www.warthunder.ru</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"“\t‘\t点\t’\t球\t大\t战\t”\t成\t就\t奖\t励\t
<color=@warningTextColor>\t登\t陆\t www.warthunder.com \t了\t解\t更\t多\t相\t关\t信\t息\t。\t</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Spot the Ball"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";;
