"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"tl_tank_think/desc";"THINK know that although there may be several ways, the goal is always the same. Only the winners will be truly remembered. Win 3 games with the Panther D.";"Les THINK savent que même s’il peut y avoir plusieurs manières, l’objectif reste le même. Seuls les gagnants seront vraiment inoubliables. Gagnez 3 parties avec le Panther D.";"I THINK sanno che vi possono essere diversi modi ma che l'obbiettivo è sempre lo stesso.
Solo i vincitori saranno ricordati. Vinci 3 partite con il Panther D.";"THINK weiß, dass es zwar mehrere Wege gibt, aber das Ziel immer dasselbe ist. Nur die Sieger werden wirklich in Erinnerung bleiben. Gewinnen Sie 3 Spiele mit dem Panther D.";"PENSAR sabe que apesar de que pueden haber muchas formas, el objetivo es siempre el mismo. Solo los ganadores serán realmente recordados. Gana 3 partidas con el Panther D.";"THINK знают: путей много, а достойный результат один, и только добившийся его остаётся в истории. Одержи 3 победы на Panther D.";"THINK wie, że cel można osiągnąć na kilka sposobów. Zapamiętani zostaną tylko zwycięzcy. Wygraj 3 bitwy, prowadząc czołg średni Panther D.";"THINK ví, že i když je cest několik, všechny vedou ke stejnému cíli. Jen vítězové nebudou zapomenuti. Vyhraj 3 hry s Pantherem Ausf. D";"THINK birkaç yol olmasına rağmen, amacın her zaman aynı olduğunu bilir. Sadece kazananlar gerçekten hatırlanır. Panther D ile 3 oyun kazan.";"THINK 团\t队\t明\t白，\t尽\t管\t通\t向\t胜\t利\t之\t路\t殊\t途\t同\t归，\t但\t只\t有\t最\t后\t的\t赢\t家\t才\t会\t被\t历\t史\t铭\t记。\t驾\t驶 豹\t式\t坦\t克 D 型 在 3 场\t战\t斗\t中\t取\t得\t胜\t利。";"THINK know that although there may be several ways, the goal is always the same. Only the winners will be truly remembered. Win 3 games with the Panther D.";"THINK sabe que embora possa haver várias maneiras, o objetivo é sempre o mesmo. Apenas os vencedores serão verdadeiramente lembrados. Ganhe 3 jogos com o Panther D.";"THINK знають: шляхів багато, а гідний результат один, і тільки той що домігся його залишається в історії. Одержимий 3 перемоги на Panther D.";"THINK zna da iako postoji više načina, cilj je uvek isti. Samo će pobednici biti zapamćeni. Pobedi 3 partije sa Panther D.";"A THINK tudja, hogy még ha több út is létezik, a cél mindig változatlan. Igazán csak a győztesek nevére fognak emlékezni. Nyerj 3 csatát a Panther D használatával.";"수단은 여러가지가 있더라도 목적은 같다는 것을 THINK는 알고있다. 오로지 승지만이 기억될 것이다. 판터 D를 탑승한채로 3 게임을 승리하라.";"THINK ведаюць: дарог мноства, а годная толькі адна. Толькі пераможцы застаюцца ў гісторыі. Перамажыце ў 3 баях на Panther D.";"THINK know that although there may be several ways, the goal is always the same. Only the winners will be truly remembered. Win 3 games with the Panther D.";"THINK 團隊明白，儘管通向勝利之路殊途同歸，但只有最後的贏家才會被歷史銘記。駕駛豹式坦克 D 型在 3 場戰鬥中取得勝利。";"THINK know that although there may be several ways, the goal is always the same. Only the winners will be truly remembered. Win 3 games with the Panther D.";;
"tl_tank_think/name";"THINK";"THINK";"THINK";"THINK";"THINK";"THINK";"THINK";"THINK";"THINK";"THINK";"THINK";"THINK";"THINK";"THINK";"THINK";"THINK";"THINK";"THINK";"THINK";"THINK";;
"tl_tank_dynamight/desc";"Chaos in the team – that is what you must seek in your opponent to secure their defeat. Spread fear and chaos just like the Dynamight squadron. While driving the M18 GMC, destroy 3 enemies, without getting knocked out, in 3 different battles.";"Le chaos dans l'équipe - c'est ce qu'il faut rechercher chez votre adversaire pour assurer la victoire. Répandez la crainte et le chaos comme l'escadrille Dynamight. En conduisant le M18 GMC, détruisez 3 ennemis, sans être touché, en 3 différentes batailles.";"Caos nella squadra - questo è ciò che devi causare nel tuo avversario per assicurarti la loro sconfitta. Spargi paura e caos come la squadriglia Dynamight. Alla guida dell'M18 GMC, distruggi 3 nemici, senza essere abbattuto, in 3 battaglie differenti.";"Chaos in der Mannschaft - das ist es, was Sie bei Ihrem Gegner suchen müssen, um seine Niederlage zu sichern. Verbreiten Sie Angst und Chaos, genau wie die Dynamight Staffel. Zerstören Sie, während Sie den M18 GMC fahren, 3 Gegner in 3 verschiedenen Kämpfen, ohne dabei k.o. zu gehen.";"Caos en el equipo – Eso es lo que debes buscar en tu oponente para asegurar su derrota. Esparce el miedo y caos tal como el Escuadrón Dynamight. Mientras manejas el M18 GMC, destruye 3 enemigos, sin ser dado de baja, en 3 batallas diferentes.";"Хаос в команде — вот что нужно противнику, чтобы быстрее проиграть бой. Сейте страх и хаос вместе с полком Dynamight: управляя M18 GMC, в трёх боях сделайте серии по 3 уничтожения. Серия не должна прерываться уничтожением вашего танка.";"Chaos w drużynie sprawia, że wróg zmierza do nieuchronnej porażki. Wprowadź go w szeregach przeciwnika niczym dywizjon DYNAMIGHT. Prowadząc M18 GMC, zniszcz 3 maszyny w 3 różnych bitwach bez strat własnych.";"Pokud chceš soupeře porazit, musíš zasít zmatek do jeho řad. Šiř strach a chaos stejně jako svaz DYNAMIGHT. V GMC M18 znič 3 nepřátele ve třech různých bitvách, aniž bys byl vyřazen.";"Takımda kaos – yenilgilerini güvene almak için rakibinizde aramanız gereken şey. Aynı Dynamight filosu gibi korku ve kaos yayın. M18 GMC sürer iken nakavt olmadan, 3 ayrı savaşta 3 düşman yok et.";"敌\t军\t队\t伍\t陷\t入\t混\t乱\t之\t时，\t正\t是\t您\t伺\t机\t而\t动\t夺\t取\t胜\t利\t的\t最\t好\t时\t机。\t像 Dynamight 联\t队\t一\t样\t为\t敌\t方\t带\t来\t恐\t惧\t与\t混\t乱\t吧！\t驾\t驶 M18 火\t炮\t运\t载\t车 在 3 场\t战\t斗\t中\t连\t续\t击\t毁 3 辆\t敌\t方\t载\t具。";"Chaos in the team – that is what you must seek in your opponent to secure their defeat. Spread fear and chaos just like the Dynamight squadron. While driving the M18 GMC, destroy 3 enemies, without getting knocked out, in 3 different battles.";"Caos na equipe - é isso que você deve buscar em seu oponente para garantir sua derrota. Espalhe o medo e o caos como o esquadrão Dynamight. Enquanto dirige o M18 GMC, destrua 3 inimigos, sem ser nocauteado, em 3 batalhas diferentes.";"Хаос в команді - ось що потрібно противнику, щоб швидше програти бій. Сійте страх і хаос разом з полком Dynamight: керуючи M18 GMC, в трьох боях зробіть серії по 3 знищення. Серія не повинна перериватися знищенням вашого танка.";"Haos u timu - to je ono što morate tražiti u vašem protivniku da osigurate njihov poraz. Širite strah i haos kao i Dynamight eskadrila. Vozeći M18 GMC, uništite 3 neprijatelja i ostanite živi u 3 različite bitke.";"Az ellenséges csapaton belüli káosz kialakítására kell törekedned a biztos győzelem érdekében. Terjessz félelmet és káoszt úgy, ahogy a DYNAMIGHT teszi. Semmisíts meg 3 különböző csatában is 3 ellenséget veszteség nélkül az M18 használatával.";"Chaos in the team – that is what you must seek in your opponent to secure their defeat. Spread fear and chaos just like the Dynamight squadron. While driving the M18 GMC, destroy 3 enemies, without getting knocked out, in 3 different battles.";"Хаос у камандзе — вось што трэба, каб супраціўнік хутчэй прайграў бой. Сейце страх і хаос разам з палком Dynamight. На сваім M18 GMC у трох баях зрабіце серыі па 3 знішчэнні супраціўніка. Серыя не павінна перарывацца знішчэннем вашага танка.";"Chaos in the team – that is what you must seek in your opponent to secure their defeat. Spread fear and chaos just like the Dynamight squadron. While driving the M18 GMC, destroy 3 enemies, without getting knocked out, in 3 different battles.";"敵軍隊伍陷入混亂之時，正是伺機而動奪取勝利的最好時機。像 Dynamight 聯隊一樣為敵方帶來恐懼與混亂吧！駕駛 M18“地獄貓”在 3 場戰鬥中連續擊毀 3 輛敵方載具。";"Chaos in the team – that is what you must seek in your opponent to secure their defeat. Spread fear and chaos just like the Dynamight squadron. While driving the M18 GMC, destroy 3 enemies, without getting knocked out, in 3 different battles.";;
"tl_tank_dynamight/name";"DYNAMIGHT";"DYNAMIGHT";"DYNAMIGHT";"DYNAMIGHT";"DYNAMIGHT";"DYNAMIGHT";"DYNAMIGHT";"DYNAMIGHT";"DYNAMIGHT";"DYNAMIGHT";"DYNAMIGHT";"DYNAMIGHT";"DYNAMIGHT";"DYNAMIGHT";"DYNAMIGHT";"DYNAMIGHT";"DYNAMIGHT";"DYNAMIGHT";"DYNAMIGHT";"DYNAMIGHT";;
"tl_tank_der_adler/desc";"Der Adler players are never satisfied with just destroying the foe: they must watch him suffer. Set three tanks of rank 3-5 on fire with a Tiger H1.";"Les joueurs de Der Adler ne se contentent pas de détruire leur adversaire: ils veulent le voir souffrir.
Mettez feu à trois chars de rang 3-5 avec le Tigre H1.";"I giocatori Der Adler non si accontentano di distruggere il nemico: loro vogliono vederlo soffrire. Manda tre carri di era 3-5 in fiamme con un Tiger H1.";"Die Spieler von Der Adler geben sich nie damit zufrieden, den Gegner einfach nur zu vernichten: Sie müssen zusehen, wie er leidet. Setzen Sie drei Panzer von Rang 3-5 mit einem Tiger H1 in Brand.";"Los jugadores del Der Adler nunca están satisfechos con tan solo destruir a su enemigo: deben verlo sufrir. Prende fuego a tres tanques de rango 3-5 con un Tiger H1.";"Игрокам Der Adler мало просто уничтожить противника: наблюдать за его мучениями не менее важно и интересно. Подожги 5 танков на Тiger H1.";"Graczy Der Adler nigdy nie zadowala samo zniszczenie wroga: muszą widzieć jak cierpi. Wznieć pożar w pojazdach z III-V Ery, prowadząc czołg ciężki Tiger H1.";"Hráči Der Adler se nikdy nespokojí jen se zničením nepřítele, musí ho vidět trpět. Zapal tři tanky na III. až V. úrovni v Tigeru Ausf. H1";"Der Adler oyuncuları asla düşmanı sadece yok etmek ile tatmin olmazlar: onun acı çekmesini izlemeliler. Tiger H1 ile seviye 3-5'ten 3 tankı ateşe ver.";"来\t自 Der Adler 队\t伍\t的\t玩\t家\t们\t不\t只\t是\t想\t要\t打\t败\t敌\t人\t而\t已，\t他\t们\t更\t愿\t意\t看\t到\t敌\t人\t饱\t受\t折\t磨。\t驾\t驶 虎\t式\t坦\t克 H1 型 点\t燃 3 辆 III-V 级\t敌\t方\t地\t面\t载\t具。";"Der Adler players are never satisfied with just destroying the foe: they must watch him suffer. Set three tanks of rank 3-5 on fire with a Tiger H1.";"Os jogadores de Der Adler nunca ficam satisfeitos apenas em destruir o inimigo: eles devem vê-lo sofrer. Coloque fogo em três tanques de nível 3-5 com um Tiger H1.";"Гравцям Der Adler мало просто знищити противника: спостерігати за його муками не менш важливо і цікаво. Підпали 5 танків на Тiger H1.";"Der Adler igrači se nikad ne zadovoljavaju samo uništavanjem neprijatelja: moraju da ga gledaju dok pati. Zapali tri tenka 3-5 ranga sa Tiger H1.";"A Der Adler játékosai soha nem elégednek meg csupán az ellenség megsemmisítésével, hanem szenvedni is látni akarják őket. Gyújts ki 3 ellenséges III–V. rangú harckocsit a Tiger H1 használatával.";"Der Adler players are never satisfied with just destroying the foe: they must watch him suffer. Set three tanks of rank 3-5 on fire with a Tiger H1.";"Гульцам Der Adler мала проста знішчыць супраціўніка — бачыць яго пакуты не менш цікава. Падпаліце 5 танкаў на Тiger H1.";"Der Adler players are never satisfied with just destroying the foe: they must watch him suffer. Set three tanks of rank 3-5 on fire with a Tiger H1.";"來自 Der Adler 隊伍的玩家們不只是想要打敗敵人而已，他們更願意看到敵人飽受折磨。駕駛虎式坦克 H1 型點燃 3 輛三至五階敵方地面載具。";"Der Adler players are never satisfied with just destroying the foe: they must watch him suffer. Set three tanks of rank 3-5 on fire with a Tiger H1.";;
"tl_tank_der_adler/name";"Der Adler";"Der Adler";"Der Adler";"Der Adler";"Der Adler";"Der Adler";"Der Adler";"Der Adler";"Der Adler";"Der Adler";"Der Adler";"Der Adler";"Der Adler";"Der Adler";"Der Adler";"Der Adler";"Der Adler";"Der Adler";"Der Adler";"Der Adler";;
"tl_air/dislike/desc";"Dislike Team knows that fury makes your drive to win stronger, and hence, your skill stronger too. Complete 2 sets of 3 kills while flying your Ki-43-III otsu.";"L'équipe Dislike sait que l’acharnement renforce votre volonté de gagner et, par conséquent, vos compétences. Complétez 2 fois une série de 3 avions abattus en pilotant votre Ki-43-III otsu.";"La squadra Dislike conosce che la foga nel pilotare ti fa diventare più forte, e di conseguenza, vincere. Completa due serie di 3 abbattimenti pilotando il Ki-43-III otsu.";"Team Dislike weiß, dass Wut Ihren Siegeswillen und damit auch Ihr Können stärkt. Schließen Sie 2 Runden mit 3 Kills ab, während Sie Ihre Ki-43-III otsu fliegen.";"El Equipo Dislike sabe que la furia hace más fuerte tu deseo de ganar y, por lo tanto, hace más fuerte tu destreza también. Complete 2 sets de 3 kills mientras vuelas tu Ki-43-III otsu.";"Ярость делает Dislike сильнее, и может сделать сильнее вас. Сделайте 2 серии по 3 уничтожения на Ki-43-III otsu. Серия не должна прерываться смертью.";"Dislike Team wie, że furia zwiększa nie tylko rządzę zwycięstwa, ale również Twoje umiejętności. Dwukrotnie uzyskaj serię 3 zestrzeleń, pilotując Ki-43-III otsu.";"Dislike tým ví, že zuřivost posílí tvou chuť po vítězství a proto vylepší i tvé schopnosti. V Ki-43-III ocu dosáhni dvou sérií po třech sestřelech.";"Dislike Takımı öfkenin kazanma güdünüzü daha güçlü, bu nedenle yeteneğinizi de daha güçlü yaptığını biliyor. Ki-43-III otsu kullanır iken 2 tane 3 öldürme setini tamamla.";"Dislike Team 知\t道\t心\t中\t燃\t烧\t的\t熊\t熊\t怒\t火\t是\t走\t向\t胜\t利\t的\t重\t要\t驱\t动\t力，\t同\t时\t也\t是\t促\t使\t技\t术\t提\t升\t的\t绝\t佳\t教\t练。\t驾\t驶 一\t式\t战\t三\t型\t乙 获\t得 2 组 3 杀。";"Dislike Team knows that fury makes your drive to win stronger, and hence, your skill stronger too. Complete 2 sets of 3 kills while flying your Ki-43-III otsu.";"O Dislike Team sabe que a fúria torna mais forte sua vontade de vencer e, portanto, sua habilidade também. Complete 2 séries de 3 abates enquanto voa com seu Ki-43-III otsu.";"Лють робить Dislike сильніше, і може зробити сильніше вас. Зробіть 2 серії по 3 знищення на Ki-43-III otsu. Серія не повинна перериватися смертю.";"Dislike tim zna da vas bes vodi ka još jačoj pobedi, i stoga jača i vašu veštinu. Kompletirajte 2 seta od 3 oborena aviona leteći sa vašim Ki-43-III otsu.";"A Dislike csapata pontosan tudja, hogy a harag erősebbé tesz. Semmisíts meg kétszer, sorozatban 3 ellenséget a Ki-43-III ocu használatával.";"Dislike Team knows that fury makes your drive to win stronger, and hence, your skill stronger too. Complete 2 sets of 3 kills while flying your Ki-43-III otsu.";"Лютасць робіць Dislike мацнейшымі і можа зрабіць мацнейшымі за вас. Зрабіце 2 серыі па 3 знішчэнні на Ki-43-III otsu. Серыя не павінна перарывацца знішчэннем вашага самалёта.";"Dislike Team knows that fury makes your drive to win stronger, and hence, your skill stronger too. Complete 2 sets of 3 kills while flying your Ki-43-III otsu.";"Dislike Team 知道心中燃燒的熊熊怒火是走向勝利的重要驅動力，同時也是促使技術提升的絕佳教練。駕駛一式戰三型乙“隼”獲得 2 組 3 殺。";"Dislike Team knows that fury makes your drive to win stronger, and hence, your skill stronger too. Complete 2 sets of 3 kills while flying your Ki-43-III otsu.";;
"tl_air_dislike/name";"Dislike Team";"Dislike Team";"Squadra Dislike";"Team Dislike";"Equipo Dislike";"Dislike Team";"Dislike Team";"Dislike Team";"Dislike Takımı";"Dislike Team";"Dislike Team";"Dislike Team";"Dislike Team";"Tim Dislike";"Dislike";"Dislike Team";"Dislike Team";"Dislike Team";"Dislike Team";"Dislike Team";;
"tl_air_cube/desc";"Sometimes, you need to make a sacrifice in order to win. CUBE believes that your P-51 Mustang should sacrifice 30 enemy aircraft.";"Quelques fois, vous avez besoins de faire des sacrifices pour obtenir une victoire. CUBE croit que votre P-51 Mustang devrait sacrifier 30 avions ennemis.";"A volte, devi offrire un sacrificio per poter vincere. I CUBE credono che il tuo P-51 Mustang debba sacrificare 30 aerei nemici.";"Manchmal muss man ein Opfer bringen, um zu gewinnen. CUBE ist der Meinung, dass Ihre P-51 Mustang 30 feindliche Flugzeuge opfern sollte.";"A veces uno necesita hacer un sacrificio para poder ganar, CUBE cree que tu P-51 Mustang debe sacrificar 30 aeronaves enemigas.";"Иногда для победы нужно чем-то жертвовать. Принесите в жертву 30 самолётов противника на P-51 Mustang.";"Czasami zwycięstwo wymaga poświęcenia. CUBE wierzy, że Twój P-51 Mustang „złoży w ofierze” 30 wrogich maszyn.";"Někdy pro dosažení vítězství musíš něco obětovat. CUBE věří, že tvůj P-51 Mustang by měl obětovat 30 nepřátelských letadel.";"Bazen, kazanabilmek için bir fedakârlık yapman gerekir. CUBE senin P-51 Mustang'inin 30 düşman uçağı feda etmesi gerektiğine inanıyor.";"有\t时，\t只\t有\t牺\t牲\t才\t能\t致\t胜。\tCUBE 小\t组\t认\t为\t您\t应\t该\t驾\t驶 P-51，\t让\t对\t面\t为\t您\t牺\t牲 30 架\t飞\t机。";"Sometimes, you need to make a sacrifice in order to win. CUBE believes that your P-51 Mustang should sacrifice 30 enemy aircraft.";"Às vezes, você precisa fazer um sacrifício para vencer. CUBE acredita que seu P-51 Mustang deve sacrificar 30 aeronaves inimigas.";"Іноді для перемоги потрібно чимось жертвувати. Принесіть в жертву 30 літаків противника на P-51 Mustang.";"Nekad se morate žrtvovati za pobedu. CUBE veruje da bi vaš P-51 Mustang trebao da žrtvuje 30 neprijateljskih letelica.";"Időnként áldozatot kell hoznod a győzelemért. A CUBE szerint a P-51 használatával kell feláldoznod 30 ellenséges repülőgépet.";"Sometimes, you need to make a sacrifice in order to win. CUBE believes that your P-51 Mustang should sacrifice 30 enemy aircraft.";"Часам дзеля перамогі трэба нечым ахвяраваць. З дапамогай свайго P-51 Mustang ахвяруйце 30 самалётаў супраціўніка.";"Sometimes, you need to make a sacrifice in order to win. CUBE believes that your P-51 Mustang should sacrifice 30 enemy aircraft.";"有時，只有犧牲才能致勝。 CUBE 小組認為您應該駕駛 P-51“野馬”，讓對面為您犧牲 30 架飛機。";"Sometimes, you need to make a sacrifice in order to win. CUBE believes that your P-51 Mustang should sacrifice 30 enemy aircraft.";;
"tl_air_cube/name";"CUBE";"CUBE";"CUBE";"CUBE";"CUBE";"CUBE";"CUBE";"CUBE";"CUBE";"CUBE";"CUBE";"CUBE";"CUBE";"CUBE";"CUBE";"CUBE";"CUBE";"CUBE";"CUBE";"CUBE";;
"tl_air_arcade/desc";"A friendly reminder from Arcade: the result is only a part of the game, never forget about the fun part. Set five enemies on fire with an I-185 M82.";"Un aimable rappel d'Arcade: les résultats ne sont seulement qu'une partie du jeu, n'oubliez jamais de vous amuser. Incendiez 5 ennemis avec un I-185 M82.";"Un appunto amichevole dagli Arcade: il risultato è solo una parte del gioco, non dimenticarti dell'aspetto divertente. Manda a fuoco 5 nemici con un I-185 M82.";"Eine freundliche Erinnerung von Arcade: Das Ergebnis ist nur ein Teil des Spiels, vergessen Sie nie den Spaß dabei. Setzen Sie fünf Feinde mit einem I-185 M82 in Brand.";"Un gentil recordatorio de Arcade: el resultado es solo una parte del juego, nunca te olvides de la parte divertida. Enciende fuego a cinco enemigos con un I-185 M82.";"Arcade напоминает: важен не только результат, но и удовольствие в процессе. Подожги 5 противников на И-185 М82.";"Przyjacielska rada od Arcade eSports: wynik jest tylko częścią gry, nigdy nie zapominaj o czerpaniu z niej radości. Podpal 5 przeciwników, pilotując I-185 M82.";"Přátelská rada od Arcade: výsledek je jen část hry, nikdy nezapomínej na zábavu. V I-185 M-82 zapal pět nepřátel.";"Arcade'ten dostça bir hatırlatma, sonuç oyunun sadece bir parçasıdır, eğlenceli kısmı asla unutma. I-185 M82 ile 5 düşmanı ateşe ver.";"Arcade 小\t组\t友\t情\t小\t贴\t士：\t最\t终\t胜\t负\t不\t过\t是\t游\t戏\t的\t一\t部\t分\t而\t已，\t请\t不\t要\t忽\t视\t游\t戏\t中\t好\t玩\t的\t环\t节。\t请\t驾\t驶 I-185/M-82 点\t燃 5 架\t敌\t人\t的\t飞\t机。";"A friendly reminder from Arcade: the result is only a part of the game, never forget about the fun part. Set five enemies on fire with an I-185 M82.";"Um lembrete amigável do Arcade: o resultado é apenas uma parte do jogo, nunca se esqueça da parte divertida. Coloque fogo em cinco inimigos com um I-185 M82.";"Arcade нагадує: важливий не тільки результат, але і задоволення в процесі. Підпали 5 супротивників на І-185 М82.";"Priateljsko podsećanje od Arcade: rezultat je samo deo igre, nikad ne zaboravite na zabavni deo. Zapali 5 neprijatelja sa I-185 M82.";"Baráti jó tanács az Arcade eSports csapatától: az eredmény csak egy része a játéknak, soha ne feledkezz meg a szórakozásról. Gyújts ki 5 ellenséget az I-185 (M-82) használatával.";"A friendly reminder from Arcade: the result is only a part of the game, never forget about the fun part. Set five enemies on fire with an I-185 M82.";"Arcade нагадвае: важны не толькі вынік, але і асалода ад працэсу. Падпаліце 5 супраціўнікаў на І-185 М82.";"A friendly reminder from Arcade: the result is only a part of the game, never forget about the fun part. Set five enemies on fire with an I-185 M82.";"Arcade 小組友情提示：最終勝負不過是遊戲的一部分而已，請不要忽視遊戲中好玩的環節。請駕駛 伊-185/M-82 點燃 5 架敵人的飛機。";"A friendly reminder from Arcade: the result is only a part of the game, never forget about the fun part. Set five enemies on fire with an I-185 M82.";;
"tl_air_arcade/name";"Arcade eSports";"Arcade eSports";"Arcade eSports";"Arcade eSports";"Arcade eSports";"Arcade eSports";"Arcade eSports";"Arcade eSports";"Arcade e-Sporları";"Arcade eSports";"Arcade eSports";"Arcade eSports";"Arcade eSports";"Arcade eSports";"Arcade eSports";"아케이드 e스포츠";"Arcade eSports";"Arcade eSports";"Arcade eSports";"Arcade eSports";;
"tl_air_gof/desc";"GOF knows that the strikes you don't see are the ones that kill, just like a bomb from the air. Protect your team from any and all of those nasty surprises: destroy 10 bombers!";"GOF sait que les coups mortels peuvent venir de n'importe où, comme une bombe venue du ciel. Protégez votre équipe de toutes ces mauvaises surprises: détruisez 10 bombardiers!";"I GOF sanno che gli attacchi che non vedrete saranno quelli che uccideranno, come una bomba dal cielo. Proteggi la tua squadra da qualsiasi sorpresa: abbatti 10 bombardieri!";"GOF weiß, dass die Schläge, die man nicht sieht, die tödlichen sind, genau wie eine Bombe aus der Luft. Schützen Sie Ihr Team vor all diesen bösen Überraschungen: Zerstören Sie 10 Bomber!";"GOF sabe que los golpes que matan son los que no ves, al igual que una bomba desde el aire. Protege a tu equipo de todas esas sorpresas desagradables: destruye 10 bombarderos.";"GOF знают, что самые опасные удары — которые не ждёшь. Например, от бомбардировщиков, летающих высоко над вами. Защитите команду от неожиданностей: уничтожьте 10 бомбардировщиков.";"GOF wie, że niespodziewany atak jest tym, który zabija – niczym bomba z nieba. Chroń swoją drużynę przed taką właśnie nieprzyjemną niespodzianką: zniszcz 10 bombowców!";"GOF ví, že tě zabije úder, který nevidíš, jako puma ze vzduchu. Ochraň svůj tým před takovou zkušeností, znič 10 bombardérů.";"GOF görmediğin vuruşların öldürenler olduğunu biliyor, aynı havadan gelen bir bomba gibi. Takımını herhangi ve bütün kötü sürprizlerden koru: 10 bombardıman uçağı yok et!";"GOF 团\t队\t明\t白，\t看\t不\t见\t的\t威\t胁\t往\t往\t是\t最\t危\t险\t的\t—\t—\t比\t如\t从\t天\t而\t降\t的\t炸\t弹。\t为\t您\t的\t队\t伍\t一\t劳\t永\t逸\t地\t解\t决\t这\t些\t麻\t烦：\t击\t落 10 架\t敌\t方\t轰\t炸\t机。";"GOF knows that the strikes you don't see are the ones that kill, just like a bomb from the air. Protect your team from any and all of those nasty surprises: destroy 10 bombers!";"GOF sabe que os ataques que você não vê são os que matam, assim como uma bomba no ar. Proteja sua equipe de toda e qualquer surpresa desagradável: destrua 10 bombardeiros!";"GOF знають, що найнебезпечніші удари - які не чекаєш. Наприклад, від бомбардувальників, що літають високо над вами. Захистіть команду від несподіванок: знищіть 10 бомбардувальників!";"GOF zna da su udari koje ne vidite oni koji ubijaju, kao bomba iz vazduha. Zaštiti svoj tim od svih neugodnih iznenađenja: uništi 10 bombardera!";"A Guard Officers csapata tudja, hogy a váratlan csapások a legvégzetesebbek, például egy bomba az égből. Védd meg a csapatod ettől a kellemetlen meglepetéstől, és semmisíts meg 10 bombázót!";"GOF knows that the strikes you don't see are the ones that kill, just like a bomb from the air. Protect your team from any and all of those nasty surprises: destroy 10 bombers!";"GOF ведаюць, што найнебяспечнейшыя ўдары — тыя, каторых не чакаеш. Напрыклад, ад бамбардзіроўшчыкаў, якія лятаюць высока над вамі. Ахоўвайце каманду ад непрыемных нечаканасцей: знішчыце 10 бамбардзіроўшчыкаў.";"GOF knows that the strikes you don't see are the ones that kill, just like a bomb from the air. Protect your team from any and all of those nasty surprises: destroy 10 bombers!";"GOF 團隊明白，看不見的威脅往往是最危險的——比如從天而降的炸彈。為你的隊伍一勞永逸地解決這些麻煩：擊落 10 架敵方轟炸機。";"GOF knows that the strikes you don't see are the ones that kill, just like a bomb from the air. Protect your team from any and all of those nasty surprises: destroy 10 bombers!";;
"tl_air_gof/name";"Guard Officers";"Officiers de la garde";"Guard Officers";"Guard Officers";"Oficiales de Guardia";"Guard Officers";"Guard Officers";"Guard Officers";"Guard Officers";"Guard Officers";"Guard Officers";"Guard Officers";"Guard Officers";"Guard Officers";"Guard Officers";"Guard Officers";"Guard Officers";"Guard Officers";"Guard Officers";"Guard Officers";;
