"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"matching/SERVER_ERROR_MISSION_NOT_FOUND";"Mission not found.";"Mission introuvable sur l'hôte du jeu.";"Missione non trovata sull'host di gioco.";"Mission beim Sitzungsleiter nicht gefunden.";"La misión no se encuentra en host del juego.";"Миссия не найдена на игровом сервере.";"Nie znaleziono hosta dla tej misji.";"Mise nenalezena u hostitele hry";"Görev, oyun sunucusunda bulunamadı.";"游\t戏\t主\t机\t无\t此\t任\t务。";"ゲームホストに\tミッションが\t見つかりませんでした。";"Missão não encontrada no jogo do anfitrião.";"Місія не знайдена на ігровому сервері.";"Misija nije pronađena na igračkom serveru.";"A kiszolgáló nem találja ezt a küldetést.";"게임 호스트에서 임무를 찾을 수 없습니다.";"Місія не знойдзена на серверы гульні.";"Misiunea nu a fost găsită în gazda jocului.";"遊\t戲\t主\t機\t無\t此\t任\t務。";"游\t戏\t主\t机\t无\t此\t任\t务。";;
"matching/SERVER_ERROR_NO_FREE_HOSTS";"All battle servers are busy.";"Tous les serveurs sont occupés.";"Nessun host libero.";"Alle Schlacht-Server sind ausgelastet.";"No hay host libres.";"Нет доступных игровых серверов.";"Wszystkie serwery są zajęte. ";"Všechny bitevní servery jsou plné";"Tüm savaş sunucuları meşgul.";"所\t有\t战\t斗\t服\t务\t器\t皆\t处\t繁\t忙\t状\t态。";"全\tバトルサーバーが\tビジー\t状態です。";"Todos os servidores de batalha estão ocupados.";"Немає доступних ігрових серверів.";"Nema slobodnih servera.";"A szerverek túlterheltek.";"모든 서버가 포화상태입니다.";"Усе серверы гульні перагружаны.";"Toate serverele de luptă sunt ocupate.";"所\t有\t服\t務\t器\t皆\t為\t繁\t忙\t狀\t態。";"所\t有\t战\t斗\t服\t务\t器\t皆\t处\t繁\t忙\t状\t态。";;
"matching/SERVER_ERROR_NOT_SQUAD_LEADER";"You must be a squad leader to perform this operation.";"Vous devez être chef d'escouade pour effectuer l'opération.";"È necessario essere un caposquadra per eseguire l'operazione.";"Du musst der Staffelführer sein, um diesen Vorgang ausführen zu können.";"Usted tiene que ser el líder del escuadrón para llevar a cabo la operación.";"Операция отклонена, так как вы не являетесь лидером отряда.";"Musisz być liderem oddziału, by wykonać operację.";"Na provedení operace musíš být velitel skupiny";"İşlemi gerçekleştirebilmek için takım lideri olmanız gerekiyor.";"只\t有\t小\t队\t长\t才\t能\t执\t行\t该\t操\t作。";"この\t操作を\t実施するには\t部隊長である\t必要があります。";"Precisas estar ser o líder do esquadrão para executar a operação.";"Операція відхилена, оскільки ви не є лідером загону.";"Za izvršavanje ove operacije morate biti vođa Odreda.";"Osztagparancsnoknak kell lenned a művelet végrehajtásához.";"작업을 수행하기 위해서 비행대장이 되어야 합니다.";"Каб выканаць гэту аперацыю, трэба быць камандзірам звязу.";"Trebuie să fii un lider de detașament pentru a efectua această operație.";"你\t需\t要\t成\t為\t小\t隊\t隊\t長\t才\t能\t執\t行\t此\t操\t作";"只\t有\t小\t队\t长\t才\t能\t执\t行\t该\t操\t作。";;
"matching/SERVER_ERROR_SQUAD_NOT_READY";"Not all squad members are ready.";"Certains membres de l'escouade ne sont pas prêts.";"Alcuni membri della squadra non sono pronti.";"Einige Staffelmitglieder sind noch nicht bereit.";"Algunos miembros del escuadrón no están listos.";"Некоторые члены отряда не готовы к бою.";"Niektórzy członkowie oddziału nie są gotowi.";"Někteří členové skupiny nejsou připraveni";"Bazı takım üyeleri hazır değil.";"部\t分\t小\t队\t成\t员\t尚\t未\t准\t备\t就\t绪。";"一部分隊\tメンバーの\t準備がまだ\t出来ていません。";"Alguns membros do esquadrão não estão prontos.";"Деякі члени загону не готові до бою.";"Neki članovi odreda nisu spremni.";"Az osztag néhány tagja még nem áll készen.";"편대원 중 일부가 아직 준비 중입니다.";"Некаторыя члены вашага звязу не гатовыя да бою.";"Unii membri ai detașamentului nu sunt gata.";"部\t分\t小\t隊\t成\t員\t還\t沒\t有\t準\t備\t好";"部\t分\t小\t队\t成\t员\t尚\t未\t准\t备\t就\t绪。";"COMMON FOR PLANES AND TANKS";
"matching/ALREADY_IN_SQUAD";"This player is already part of the squad.";"Le joueur est déjà dans l'escouade";"Giocatore già nel plotone";"Spieler ist bereits in der Staffel";"El jugador ya está en el escuadrón";"Игрок уже находится в отряде";"Gracz jest już w oddziale";"Hráč už je ve skupině";"Oyuncu zaten takımda";"玩\t家\t已\t经\t是\t小\t队\t成\t员\t了";"すでに\t編隊に\t所属しています。";"Jogador já na esquadrilha";"Гравець вже знаходиться в загоні";"Igrač već u odredu";"Ez a játékos már az osztagban van.";"플레이어가 이미 편대에 있습니다.";"Гулец ужо ў складзе звязу";"Jucătorul se află deja în detașament.";"玩\t家\t已\t經\t是\t小\t隊\t成\t員\t了";"玩\t家\t已\t经\t是\t小\t队\t成\t员\t了";;
"matching/NOT_SQUAD_LEADER";"You must be a squad leader to perform this operation.";"Vous devez être chef d'escouade pour effectuer cette opération.";"Devi essere un caposquadra per eseguire l'operazione.";"Du musst der Staffelführer sein, um diesen Vorgang ausführen zu können.";"Usted tiene que ser el líder del escuadrón para llevar a cabo la operación.";"Операция отклонена, так как вы не являетесь лидером отряда.";"Musisz być dowódcą oddziału, aby wykonać operację.";"Na provedení operace musíš být velitel skupiny";"İşlemi gerçekleştirebilmek için takım lideri olmanız gerekiyor.";"只\t有\t小\t队\t长\t才\t能\t执\t行\t该\t操\t作。";"この\t操作を\t行うには\t部隊長である\t必要があります。";"Precisas de ser o líder do esquadrão para executar a operação.";"Операція відхилена, оскільки ви не є лідером загону.";"Morate biti vođa odreda da bi izvršili ovu operaciju.";"Osztagparancsnoknak kell lenned a művelet végrehajtásához.";"작업을 수행하기 위해서 편대장이 되어야 합니다.";"Каб выканаць гэту аперацыю, трэба быць камандзірам звязу.";"Trebuie să fii liderul unui detașament pentru a efectua această operație.";"你\t需\t要\t成\t為\t小\t隊\t隊\t長\t才\t能\t執\t行\t此\t操\t作";"只\t有\t小\t队\t长\t才\t能\t执\t行\t该\t操\t作。";;
"matching/NOT_SQUAD_MEMBER";"You must be a squad member to perform this operation.";"Vous devez être membre de l'escouade pour effectuer cette opération.";"Devi essere un membro del plotone per eseguire l'operazione.";"Du musst ein Staffelmitglied sein, um diesen Vorgang ausführen zu können.";"Usted tiene que ser miembro del escuadrón para llevar a cabo la operación.";"Операция отклонена, так как вы не являетесь членом отряда.";"Musisz być członkiem oddziału, aby wykonać operację.";"Na provedení operace musíš být člen skupiny";"İşlemi gerçekleştirebilmek için takım üyesi olmanız gerekiyor.";"只\t有\t小\t队\t成\t员\t才\t能\t执\t行\t该\t操\t作。";"この\t操作を\t行うには\t部隊\tメンバーである\t必要があります。";"Você tem de ser um membro do esquadrão para executar a operação.";"Операція відхилена, так як ви не є членом загону.";"Morate biti član odreda da bi izvršili ovu operaciju.";"Egy osztag tagjának kell lenned a művelet végrehajtásához.";"작업을 수행하기 위해서 편대원이 되어야 합니다.";"Каб выканаць гэту аперацыю, трэба быць у складзе звязу.";"Trebuie să fii membrul unui detașament pentru a efectua această operație.";"你\t需\t要\t成\t為\t小\t隊\t成\t員\t才\t能\t執\t行\t此\t操\t作";"只\t有\t小\t队\t成\t员\t才\t能\t执\t行\t该\t操\t作。";;
"matching/NO_SQUAD";"Squad does not exist";"L'escouade n'existe pas";"Il Plotone non esiste";"Diese Staffel existiert nicht.";"La escuadra no existe";"Отряд не существует";"Drużyna nie istnieje";"Skupina neexistuje";"Takım mevcut değil";"小\t队\t不\t存\t在";"分隊は\t存在しません";"Esquadrão não existe";"Загону не існує";"Odred ne postoji";"Az osztag nem létezik.";"편대가 존재하지 않습니다.";"Звяз не існуе";"Detașamentul nu există.";"小\t隊\t不\t存\t在";"小\t队\t不\t存\t在";;
"matching/SQUAD_FULL";"Squad is full";"L'escouade est pleine";"Plotone al completo";"Die Staffel ist voll";"El escuadrón está completo";"Отряд полон";"Oddział jest pełny";"Skupina je plná";"Takım dolu";"小\t队\t人\t数\t已\t满";"編隊は\t満員です。";"Esquadrilha está cheia";"Загін заповнено";"Odred je pun";"Az osztag megtelt.";"편대가 다 찼습니다.";"Звяз поўны";"Detașamentul este complet.";"小\t隊\t人\t數\t已\t滿";"小\t队\t人\t数\t已\t满";;
"matching/SQUAD_NOT_INVITED";"Player doesn't have any invitations to the squad";"Le joueur n’a aucune invitation à l'escouade";"Il giocatore non ha nessun invito al plotone";"Der Spieler wurde nicht in die Staffel eingeladen";"El jugador no tiene ninguna invitación al escuadrón";"У игрока нет приглашения в отряд";"Gracz nie otrzymał żadnych zaproszeń do oddziału";"Hráč nemá žádné pozvánky do skupiny";"Oyuncu herhangi bir takım davetiyesine sahip değil";"玩\t家\t没\t有\t收\t到\t小\t队\t邀\t请";"部隊への\t招待はありません。";"Jogador não tem qualquer convites para a esquadrilha";"Гравець не має запрошення до загону";"Igrač nema nijednu pozivnicu za odred";"Ezen játékosnak nincs meghívója az osztaghoz.";"플레이어가 편대 초대를 받지 않았습니다.";"У гульца няма запрашэння ў звяз";"Jucătorul nu are nicio invitație în detașament.";"玩\t家\t沒\t有\t收\t到\t小\t隊\t邀\t請";"玩\t家\t没\t有\t收\t到\t小\t队\t邀\t请";;
"matching/SQUAD_LEADER_OFFLINE";"Squad leader is offline";"Le chef d'escouade n'est pas en jeu";"Il capo plotone non è in gioco";"Der Staffelführer ist offline.";"Líder de la escuadrilla no esta el juego";"Лидер отряда не в игре";"Lider drużyny nie jest obecny w grze";"Velitel skupiny není ve hře";"Takım lideri oyunda değil";"小\t队\t长\t不\t在\t线";"分隊長がいません";"Líder de Esquadrão não está no jogo";"Лідер загону не в грі";"Vođa odreda nije u igri";"Az osztagparancsnok offline.";"편대 리더가 게임에 참여하지 않았습니다.";"Камандзір звязу не ў гульні";"Liderul detașamentului nu este în joc.";"小\t隊\t隊\t長\t不\t在\t線\t上";"小\t队\t长\t不\t在\t线";;
"matching/SERVER_ERROR_MEMBER_OFFLINE";"Squad member logged out.";"Membre de l'escouade déconnecté.";"Membro del plotone disconnesso.";"Staffelmitglied hat sich ausgeloggt.";"Los miembros del escuadrón han salido de la sesión.";"Член отряда вышел из игры.";"Członek oddziału wylogował się.";"Člen skupiny se odhlásil";"Takım üyesi çevrimdışı oldu.";"小\t队\t成\t员\t已\t登\t出。";"分隊\tメンバーが\tログアウトしました。";"Membro do esquadrão desconectado.";"Член загону вийшов з гри.";"Član odreda se odjavio.";"Az osztag egyik tagja offline.";"편대원이 로그아웃했습니다.";"Член звязу выйшаў з гульні.";"Membrii detașamentului s-au deconectat.";"小\t隊\t成\t員\t已\t經\t登\t出";"小\t队\t成\t员\t已\t登\t出。";;
"matching/SERVER_ERROR_BAD_MODE_NAME";"Game mode error.";"Mode de jeu incorrect.";"Modalità di gioco errata.";"Falscher Spielmodus.";"Mal modo de juego.";"Неверный игровой режим.";"Zły tryb gry.";"Nesprávný herní mód";"Uyumsuz oyun modu.";"游\t戏\t模\t式\t错\t误";"不正な\tゲームモードです。";"Modo de jogo ruim.";"Невірний ігровий режим.";"Pogrešan režim igre.";"Helytelen játékmód.";"부적절한 게임 모드";"Памылковы рэжым гульні.";"Mod incorect de joc.";"錯\t誤\t遊\t戲\t模\t式";"游\t戏\t模\t式\t错\t误";;
"matching/SERVER_ERROR_BUSY";"Server is busy. Try again later.";"Le serveur est occupé. Réessayez plus tard.";"Server occupato. Riprova più tardi.";"Der Server ist ausgelastet. Versuche es später erneut.";"El servidor está ocupado. Intentar de nuevo más tarde.";"Сервер перегружен. Повторите запрос позже.";"Serwer jest zajęty. Spróbuj ponownie później.";"Server je zaneprázdněn, zkus to později";"Sunucu meşgul. Daha sonra tekrar deneyin.";"服\t务\t器\t正\t忙，\t请\t稍\t后\t再\t试。";"サーバーが\tビジー\t状態です。\tまた\t後ほどお\t試しください。";"O servidor está ocupado. Tente novamente mais tarde.";"Сервер перевантажений. Повторіть запит пізніше.";"Server je zauzet. Pokušajte kasnije.";"A szerver túlterhelt. Próbáld újra később.";"서버에 접속이 폭주하고 있습니다. 잠시 후 다시 시도해 주십시오.";"Сервер перагружаны. Паспрабуйце яшчэ раз пазней.";"Serverul este ocupat. Încearcă mai târziu.";"伺\t服\t器\t忙\t碌\t中，\t請\t稍\t後\t再\t試";"服\t务\t器\t正\t忙，\t请\t稍\t后\t再\t试。";;
"matching/SERVER_ERROR_PEERS_LIMIT_REACHED";"Server is busy. Try again later.";"Le serveur est occupé. Réessayez plus tard.";"Server occupato. Riprova più tardi.";"Der Server ist ausgelastet. Versuche es später erneut.";"El servidor está ocupado. Intentar de nuevo más tarde.";"Сервер перегружен. Повторите запрос позже.";"Serwer jest zajęty. Spróbuj ponownie później.";"Server je zaneprázdněn, zkus to později";"Sunucu meşgul. Daha sonra tekrar deneyin.";"服\t务\t器\t正\t忙，\t请\t稍\t后\t再\t试。";"サーバーが\tビジー\t状態です。\tまた\t後ほどお\t試しください。";"O servidor está ocupado. Tente novamente mais tarde.";"Сервер перевантажений. Повторіть запит пізніше.";"Server je zauzet. Pokušajte kasnije.";"A szerver túlterhelt. Próbáld újra később.";"서버에 접속이 폭주하고 있습니다. 잠시 후 다시 시도해 주십시오.";"Сервер перагружаны. Паспрабуйце яшчэ раз пазней.";"Serverul este ocupat. Încearcă mai târziu.";"伺\t服\t器\t忙\t碌\t中，\t請\t稍\t後\t再\t試";"服\t务\t器\t正\t忙，\t请\t稍\t后\t再\t试。";;
"matching/SERVER_ERROR_MODE_UNAVAILABLE";"The selected game mode is currently unavailable.";"Le mode de jeu choisi n'est pas disponible.";"Modalità di gioco scelta non è disponibile.";"Der ausgewählte Spielmodus ist nicht verfügbar.";"El modo seleccionado no esta disponible.";"Выбранный игровой режим недоступен.";"Wybrany tryb gry jest niedostępny.";"Zvolený herní mód není k dispozici";"Seçilen oyun modu kullanılamaz.";"所\t选\t模\t式\t暂\t不\t可\t用";"選択された\tゲームモードは\t利用できません。";"Modo de jogo escolhido indisponível.";"Обраний ігровий режим недоступний.";"Izabrani režim nije dostupan.";"A választott játékmód nem elérhető.";"선택한 게임 모드는 이용할 수 없습니다.";"Выбраны рэжым гульні недаступны.";"Modul de joc ales nu este disponibil.";"選\t擇\t的\t遊\t戲\t模\t式\t無\t法\t使\t用";"所\t选\t模\t式\t暂\t不\t可\t用";;
"matching/CLIENT_ERROR_ROOM_INVITE_REJECT";"Session invite was rejected.";"L'invitation à la session a été rejetée.";"L'invito alla sessione è stato respinto.";"Einladung zur Spielsitzung wurde abgelehnt.";"La invitación de la sesión fue rechazada.";"Приглашение в сессию было отклонено.";"Zaproszenie do sesji zostało odrzucone.";"Pozvání do střetnutí bylo odmítnuto";"Oturum daveti reddedildi.";"邀\t请\t被\t拒\t绝";"セッションへの\t招待が\t拒否されました。";"Convite para a sala foi rejeitado.";"Запрошення в кімнату було відхилене.";"Pozivnica za sobu je odbijena.";"Visszavonták a meghívást.";"세션 초대가 거절되었습니다.";"Запрашэнне ў сеанс было адхілена.";"Invitația în sesiune a fost respinsă.";"邀\t請\t被\t拒\t絕";"邀\t请\t被\t拒\t绝";;
"matching/CLIENT_ERROR_OFFLINE";"Connection interrupted - please sign in again.";"Vous êtes hors ligne - connectez-vous d'abord.";"Sei disconnesso - accedi.";"Du bist offline - melde dich zuerst an.";"Usted está fuera de linea - primero debe iniciar sesión.";"Вы не в сети — сначала залогиньтесь.";"Brak połączenia - najpierw musisz się zalogować.";"Jsi offline, nejdříve se přihlas";"Çevrim dışısınız - önce oturum açın.";"当\t前\t处\t于\t离\t线\t状\t态\t—\t—\t请\t先\t登\t录";"あなたは\tオフライン\t状態です。\tまずは\tサインインしてください。";"Estás desconectado – conecta-te primeiro.";"Ви не в мережі — спочатку залогінтесь.";"Niste prijavljeni - prvo se prijavite.";"Offline vagy. Először be kell jelentkezned.";"접속이 끊어졌습니다. 먼저 로그인 해 주십시오.";"Вы не ў сетцы — спачатку ўвайдзіце ў гульню.";"Ești deconectat - conectează-te mai întâi.";"你\t目\t前\t離\t線\t中 - 請\t先\t登\t入";"当\t前\t处\t于\t离\t线\t状\t态\t—\t—\t请\t先\t登\t录";;
"matching/HOST_ERROR_NOT_READY";"Internal host error.";"Erreur hôte interne.";"Errore host interno.";"Interner Sitzungsleitungs-Fehler.";"Error interno del host.";"Внутренняя ошибка игрового сервера.";"Błąd wewnętrzny hosta.";"Vnitřní chyba hostitele";"Dahili sunucu hatası.";"内\t部\t主\t机\t错\t误";"内部\tホストエラー。";"Erro interno do anfitrião.";"Внутрішня помилка ігрового сервера.";"Interna greška servera.";"Belső kiszolgálóhiba.";"내부 호스트 오류";"Унутраная памылка сервера гульні.";"Eroare internă a gazdei.";"內\t部\t主\t機\t錯\t誤";"内\t部\t主\t机\t错\t误";;
"matching/HOST_ERROR_BAD_MISSION";"Incompatible mission parameters.";"Mauvais paramètres de mission.";"Parametri di missione errati.";"Fehlerhafte Missionsparameter.";"Malos parámetros  de la misión.";"Параметры миссии заданы неверно.";"Złe parametry misji.";"Nesprávné parametry mise";"Bozuk görev parametreleri.";"任\t务\t参\t数\t错\t误";"不正な\tミッションパラメータです。";"Parâmetros da missão ruins.";"Параметри місії задані невірно.";"Pogrešni parametri misije.";"Helytelen küldetésparaméterek.";"부적절한 임무 매개변수";"Памылковыя параметры місіі.";"Parametri misiune incorecți.";"任\t務\t參\t數\t錯\t誤";"任\t务\t参\t数\t错\t误";;
"matching/HOST_ERROR_CHAR_REQ_FAILED";"Internal host error.";"Erreur hôte interne.";"Errore host interno.";"Interner Sitzungsleitungs-Fehler.";"Error interno del host.";"Внутренняя ошибка игрового сервера.";"Błąd wewnętrzny hosta.";"Vnitřní chyba hostitele";"Dahili sunucu hatası.";"内\t部\t主\t机\t错\t误";"内部\tホストエラー。";"Erro interno do anfitrião.";"Внутрішня помилка ігрового сервера.";"Interna greška servera.";"Belső kiszolgálóhiba.";"내부 호스트 오류";"Унутраная памылка сервера гульні.";"Eroare internă a gazdei.";"內\t部\t主\t機\t錯\t誤";"内\t部\t主\t机\t错\t误";;
"matching/HOST_ERROR_ROOM_CREATE_FAILED";"Internal host error.";"Erreur hôte interne.";"Errore host interno.";"Interner Sitzungsleitungs-Fehler.";"Error interno del host.";"Внутренняя ошибка игрового сервера.";"Błąd wewnętrzny hosta.";"Vnitřní chyba hostitele";"Dahili sunucu hatası.";"内\t部\t主\t机\t错\t误";"内部\tホストエラー。";"Erro interno do anfitrião.";"Внутрішня помилка ігрового сервера.";"Interna greška servera.";"Belső kiszolgálóhiba.";"내부 호스트 오류";"Унутраная памылка сервера гульні.";"Eroare internă a gazdei.";"內\t部\t主\t機\t錯\t誤";"内\t部\t主\t机\t错\t误";;
"matching/CLIENT_ERROR_CONNECTION_CLOSED";"Connection to the server was lost.";"La connexion au serveur a été perdue.";"La connessione al server è stata persa.";"Verbindung zum Server verloren.";"Se perdió la conexión con el servidor.";"Связь с сервером потеряна.";"Połączenie z serwerem zostało przerwane.";"Připojení k serveru bylo ztraceno";"Sunucu bağlantısı koptu.";"服\t务\t器\t连\t接\t丢\t失。";"サーバーとの\t接続が\t切断しました。";"Conexão com o servidor perdida.";"З’єднання з сервером було втрачено.";"Konekcija sa serverom je izgubljena.";"Megszakadt a kapcsolat a szerverrel.";"서버와의 연결이 끊어졌습니다.";"Злучэнне з серверам абарвалася.";"Conexiunea la server a fost pierdută.";"連\t接\t伺\t服\t器\t資\t訊\t漏\t失";"服\t务\t器\t连\t接\t丢\t失。";;
"matching/CLIENT_ERROR_FAILED_TO_CONNECT";"Unable to connect to the server.";"Impossible de se connecter au serveur.";"Impossibile connettersi al server.";"Kann nicht mit Server verbinden.";"No se puede conectar con el servidor.";"Не удалось установить соединение с сервером.";"Nie można połączyć się z serwerem.";"Nelze se připojit k serveru";"Sunucu bağlantısı kurulamıyor.";"无\t法\t连\t接\t服\t务\t器。";"サーバーへの\t接続が\t出来ません。";"Não é possível conectar ao servidor.";"Не вдалося встановити з'єднання з сервером.";"Neuspešno povezivanje sa serverom.";"Nem sikerült kapcsolódni a szerverhez.";"서버에 접속할 수 없습니다.";"Не ўдалося злучыцца з серверам.";"Nu se poate conecta la server.";"無\t法\t連\t接\t伺\t服\t器";"无\t法\t连\t接\t服\t务\t器。";;
"matching/SERVER_ERROR_FORCE_DISCONNECT";"The server has closed the connection.";"Le serveur a fermé la connexion.";"Il server ha chiuso la connessione.";"Server hat die Verbindung geschlossen.";"El servidor ha cerrado la conexión.";"Сервер закрыл соединение.";"Serwer przerwał połączenie.";"Server ukončil připojení";"Sunucu bağlantıyı kapattı.";"服\t务\t器\t端\t关\t闭\t了\t连\t接。";"サーバーへの\t接続が\t終了しました。";"O servidor fechou a conexão.";"Сервер закрив з'єднання.";"Server je prekinuo konekciju.";"A szerver bontotta a kapcsolatot.";"서버가 연결을 끊었습니다.";"Сервер абарваў злучэнне.";"Serverul a închis conexiunea.";"伺\t服\t器\t端\t關\t閉\t連\t接";"服\t务\t器\t端\t关\t闭\t了\t连\t接。";;
"matching/AUTH_WRONG_LOGIN";"Incorrect login or password";"Mot de passe ou login incorrect";"Password o accesso errato";"Login oder Passwort fehlerhaft.";"Incorrecto usuario o contraseña";"Неправильный логин или пароль.";"Niepoprawny login lub hasło";"Nesprávné přihlašovací jméno nebo heslo";"Hatalı kullanıcı adı veya şifre";"账\t号\t名\t或\t密\t码\t错\t误";"ログインもしくは\tパスワードが\t正しくありません。";"Login ou senha incorreta";"Неправильний логін або пароль.";"Netačno ime za prijavljivanje ili šifra";"Hibás felhasználónév vagy jelszó.";"잘못된 로그인 또는 비밀번호";"Памылковае імя карыстальніка або пароль.";"Nume cont sau parolă de conectare incorecte.";"帳\t號\t或\t是\t密\t碼\t錯\t誤";"账\t号\t名\t或\t密\t码\t错\t误";;
"matching/AUTH_SERVER_NOT_AVAILABLE";"The authorization server is unavailable.";"Le serveur d'autorisation est indisponible.";"L'autorizzazione al server non è disponibile.";"Der Autorisierungsserver ist nicht erreichbar.";"El servidor de autorización no está disponible.";"Сервер авторизации недоступен.";"Serwer autoryzacji jest niedostępny.";"Autorizační server není k dispozici";"Kimlik doğrulama sunucusuna erişilemiyor.";"认\t证\t服\t务\t器\t不\t可\t用。";"サーバーの\t承認ができません。";"O servidor de autorização não está disponível.";"Сервер авторизації недоступний.";"Autorizacioni server je nedostupan.";"A hitelesítő szerver nem elérhető.";"인증 서버를 사용할 수 없습니다.";"Сервер аўтарызацыі недаступны.";"Serverul de autorizare nu este disponibil.";"認\t證\t伺\t服\t器\t無\t法\t使\t用";"认\t证\t服\t务\t器\t不\t可\t用。";;
"matching/AUTH_FROZEN";"Your account has been frozen. Please visit support.gaijin.net";"Votre compte a été bloqué. Merci de visiter la page support.gaijin.net";"Il tuo account è stato bloccato. Visitare support.gaijinent.com";"Dein Konto wurde eingefroren. Bitte wende dich an: support.gaijin.net";"Su cuenta ha sido suspendida. Por favor, visite support.gaijin.net";"Ваш аккаунт заморожен. Пожалуйста, обратитесь в support.gaijin.net";"Twoje konto zostało zawieszone. Proszę odwiedzić stronę support.gaijinent.com";"Tvůj účet byl zablokován, navštiv support.gaijin.net";"Hesabınız donduruldu. Lütfen support.gaijin.net adresini ziyaret edin";"账\t户\t已\t被\t冻\t结。\t欲\t知\t详\t情，\t请\t访\t问 support.gaijin.net";"あなたの\tアカウントは\t凍結中です。\tsupport.gaijin.net をご\t覧ください。";"A sua conta foi congelada. Por favor visite support.gaijinent.com";"Ваш акаунт заморожений. Будь ласка, зверніться в support.gaijin.net";"Vaš nalog je zamrznut. Molimo posetite stranicu support.gaijinent.com";"A fiókod fagyasztásra került. Kérlek, látogass el a support.gaijin.net oldalra.";"당신의 계정은 현재 이용중지되었습니다. support.gaijin.net을 방문하시기 바랍니다.";"Ваш акаўнт быў заблакіраваны. Звярніцеся ў тэхнічную падтрымку, наведаўшы support.gaijin.ru";"Acest cont a fost suspendat. Vizitează adresa support.gaijin.net";"帳\t號\t已\t經\t被\t凍\t結，\t請\t前\t往 support.gaijin.net";"账\t户\t已\t被\t冻\t结。\t欲\t知\t详\t情，\t请\t访\t问 support.gaijinent.com";;
"matching/AUTH_NOT_LOGGED";"You are offline - sign in first.";"Vous êtes hors ligne - connectez-vous d'abord.";"Sei offline - accedi.";"Du bist offline - melde dich zuerst an.";"Usted está fuera de linea - primero debe iniciar sesión.";"Вы не в сети — сначала залогиньтесь.";"Brak połączenia - najpierw musisz się zalogować.";"Jsi offline, nejdříve se přihlas";"Çevrim dışısınız - önce oturum açın.";"当\t前\t处\t于\t离\t线\t状\t态\t—\t—\t请\t先\t登\t录。";"あなたは\tオフライン\t状態です。\tまずは\tサインインしてください。";"Você está offline - inscreva-se primeiro.";"Ви не в мережі — спочатку залогінтесь.";"Niste prijavljeni - prvo se prijavite.";"Offline vagy. Először be kell jelentkezned.";"접속이 끊어졌습니다. 먼저 로그인 해 주십시오.";"Вы не ў сетцы — спачатку ўвайдзіце ў гульню.";"Ești deconectat - conectează-te mai întâi.";"你\t目\t前\t離\t線\t中 - 請\t先\t登\t入";"当\t前\t处\t于\t离\t线\t状\t态\t—\t—\t请\t先\t登\t录。";;
"matching/LOBBY_LOBBY_IS_ABANDONED";"Game session has finished.";"La session de jeu est terminée.";"Sessione di gioco terminata.";"Spielsitzung wurde beendet.";"La sesión de juego ha finalizado.";"Игровая сессия завершилась.";"Sesja rozgrywki zakończyła się.";"Střetnutí skončilo";"Oyun oturumu tamamlandı.";"本\t场\t游\t戏\t已\t结\t束。";"ゲームセッション\t終了。";"Sessão de jogo está terminada.";"Ігрова сесія завершилася.";"Igračka sesija je završena.";"A játszma véget ért.";"게임 세션이 완료되었습니다.";"Сеанс гульні завяршыўся.";"Sesiunea de joc s-a terminat.";"本\t場\t遊\t戲\t已\t結\t束。";"本\t场\t游\t戏\t已\t结\t束。";;
"matching/LOBBY_TEAM_IS_FULL";"Selected team is full.";"L’équipe sélectionnée est pleine.";"La squadra scelta è completa.";"Das gewählte Team ist voll.";"El equipo elegido esta completo.";"Выбранная команда заполнена.";"Wybrana drużyna jest pełna.";"Vybraný tým je plný";"Seçilen takım dolu.";"该\t队\t伍\t人\t数\t已\t满。";"選択した\tチームは\t満室です。";"A equipa escolhida está cheia.";"Обрана команда заповнена.";"Izabrani tim je pun.";"A választott csapat megtelt.";"선택한 팀이 가득 찼습니다.";"Выбраная каманда поўная.";"Echipa aleasă este completă.";"選\t擇\t的\t隊\t伍\t人\t數\t已\t滿";"该\t队\t伍\t人\t数\t已\t满。";;
"matching/<unknown_error>";"Internal server error.";"Erreur interne du serveur.";"Errore interno del server.";"Interner Serverfehler.";"Error interno del servidor.";"Внутренняя ошибка сервера.";"Błąd wewnętrzny serwera.";"Vnitřní chyba serveru";"Dahili sunucu hatası.";"服\t务\t器\t内\t部\t错\t误。";"内部\tサーバーエラー。";"Erro interno do servidor.";"Внутрішня помилка сервера.";"Interna serverska greška.";"Belső szerverhiba.";"내부 서버 오류";"Унутраная памылка сервера.";"Eroare internă a serverului.";"服\t務\t器\t內\t部\t錯\t誤。";"服\t务\t器\t内\t部\t错\t误。";;
