"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"clan/find_clan";"Find a Squadron: ";"Trouver un Escadron: ";"Trova una Squadriglia: ";"Kampfgruppe suchen: ";"Encontrar un escuadrón: ";"Найти полк";"Znajdź Dywizjon: ";"Hledat svaz: ";"Bir Filo Bul: ";"搜\t寻\t联\t队\t：";"部隊を\t探す: ";"Encontre um esquadrão: ";"Find a Squadron: ";"Знайти полк";"Pronađi Eskadrilu: ";"Század keresése";"비행대 검색: ";"Шукаць полк";"Căutare companie: ";"搜尋聯隊: ";"搜\t寻\t联\t队\t：";;
"clan/nothing_found";"Nothing found!";"Rien trouvé !";"Non è stato trovato nulla!";"Keine Ergebnisse!";"¡Nada encontrado!";"По запросу ничего не найдено!";"Nic nie znaleziono!";"Nic nalezeno";"Hiçbir şey bulunamadı!";"未\t找\t到\t相\t关\t结\t果\t！";"何も\t見つかりませんでした！";"Nothing found!";"Nothing found!";"Нічого не знайдено!";"Ništa nije pronađeno!";"Nincs találat!";"찾을 수 없습니다.";"Нічога не знойдзена!";"Nu s-au găsit rezultate!";"沒有搜尋到任何資訊";"未\t找\t到\t相\t关\t结\t果\t！";"NOT TRANSLATED";
"clan/battle_season/reward_description";"The top 3 squadrons receive: (divided equally among the top %d players of the clan)";"Les 3 premiers escadrons recevront : (divisé à part égale entre les %d meilleurs joueurs du clan)";"Le prime 3 squadriglie riceveranno: (divisi equalmente tra i primi %d giocatori della squadriglia)";"Die drei besten Kampfgruppen erhalten (jeweils auf die %d besten Spieler aufgeteilt):";"Los 3 mejores escuadrones recibirán: (dividido en partes iguales entre los jugadores del top %d del clan)";"Награда присуждается первым 3 местам: (выигрыш будет поделен поровну между %d участниками полка)";"Trzy najlepsze dywizjony otrzymują: (podzielone równo pomiędzy %d najlepszych graczy)";"Nejlepší 3 svazy obdrží: (rozděleno rovným dílem mezi nejlepší %d hráče svazu)";"En iyi 3 filo ödülü: (%d ödülü filo oyuncuları arasında eşit olarak bölünür)";"冠\t亚\t季\t军\t联\t队\t将\t分\t别\t获\t得\t（\t由\t队\t内\t排\t名\t前\t %d \t的\t玩\t家\t均\t分\t）\t：";"トップ\t3部隊報酬: (上位%d\tプレイヤーで\t分割)";"The top 3 squadrons receive: (divided equally among the top %d players of the clan)";"The top 3 squadrons receive: (divided equally among the top %d players of the clan)";"Нагорода присуджується першим 3 місцям: (виграш буде поділений порівну між %d учасниками полку)";"Top tri eskadrile dobijaju: (podeljeno jednako između top %d igrača klana)";"A 3 legjobb század nyereménye: (a század legjobb %d játékosa között egyenlően elosztva)";"보상 대상 상위 3개 비행대: (비행대 상위 %d 명의 플레이어에게 같은 액수로 나눠집니다.)";"Тры найлепшыя палкі атрымаюць (узнагарода падзеліцца пароўну паміж %d найлепшымі пілотамі палка):";"Primele 3 companii primesc: (divizat egal între primii %d jucători ai companiei)";"前三名聯隊將獲得：(由隊內排名前 %d 的玩家均分)";"冠\t亚\t季\t军\t联\t队\t将\t分\t别\t获\t得\t（\t由\t队\t内\t排\t名\t前\t %d \t的\t玩\t家\t均\t分\t）\t：";"NOT TRANSLATED";
"clan/battle_season/title";"Current squadron's battle season";"Saison actuelle des batailles d'escadron";"Stagione di battaglia attuale della squadriglia";"Aktuelle Saison der Kampfgruppen-Gefechte";"Temporada de batallas del escuadrón actual";"Текущий сезон полковых боев";"Sezon walk obecnego dywizjonu";"Současná fáze Svazových bitev";"Mevcut filonun savaş sezonu";"当\t前\t联\t队\t锦\t标\t赛\t季";"現在の\t部隊戦\tシーズン";"Current squadron's battle season";"Current squadron's battle season";"Поточний сезон полкових боїв";"Trenutna sezona klanskih bitaka";"Aktuális századcsataszezon";"현재 비행대 전투 시즌";"Бягучы сезон палкавых баёў";"Sezon curent bătălii companii";"目前聯隊錦標賽賽季";"当\t前\t联\t队\t锦\t标\t赛\t季";"NOT TRANSLATED";
"clan/battle_season/place_1";"I place";"Place I";"1° Posto";"I. Platz";"1er lugar";"I место";"I miejsce";"I. místo";"1. sıra";"冠\t军";"I 位";"I place";"I place";"I місце";"I mesto";"I. hely";"1위";"I месца";"Locul I";"第 I 名";"冠\t军";"NOT TRANSLATED";
"clan/battle_season/place_2";"II place";"Place II";"2° Posto";"II. Platz";"2do Lugar";"II место";"II miejsce";"II. místo";"2. sıra";"亚\t军";"II 位";"II place";"II place";"II місце";"II mesto";"II. hely";"2위";"II месца";"Locul II";"第 II 名";"亚\t军";"NOT TRANSLATED";
"clan/battle_season/place_3";"III place";"Place III";"3° Posto";"III. Platz";"3er Lugar";"III место";"III miejsce";"III. místo";"3. sıra";"季\t军";"III 位";"III place";"III place";"III місце";"III mesto";"III. hely";"3위";"III месца";"Locul III";"第 III 名";"季\t军";"NOT TRANSLATED";
"clan/battle_season/ends";"Ends in";"Termine dans";"Termina il";"Endet in";"Termina en";"Закончится";"Koniec";"Končí za";"Bitmesine Kalan Süre";"结\t束\t时\t间";"終了まで";"Ends in";"Ends in";"Закінчується";"Završava se za";"Véget ér";"종료";"Скончыцца";"Se termină în";"結束於";"结\t束\t时\t间";"NOT TRANSLATED";
"clan/battle_season/coming_soon";"Squadron Battle Season is coming soon";"La saison de batailles d'escadron sera disponible prochainement";"La Stagione delle Battaglie Squadriglia è in arrivo";"Die Kampfgruppensaison kommt bald";"Temporada de Batallas de Escuadrón comenzará pronto";"Cезон полковых боёв скоро начнётся";"Sezon Bitew Dywizjonów wkrótce się rozpocznie";"Squadron Battle Season is coming soon";"Squadron Battle Season is coming soon";"联\t队\t锦\t标\t赛\t季\t即\t将\t开\t始";"部隊\tバトルの\tシーズンがまもなくやって\t来ます";"Squadron Battle Season is coming soon";"Squadron Battle Season is coming soon";"Сезон полкових боїв скоро почнеться";"Squadron Battle Season is coming soon";"Squadron Battle Season is coming soon";"비행대 전투 시즌이 곧 돌아옵니다";"Squadron Battle Season is coming soon";"Sezonul de lupte între companii începe curând";"聯隊戰賽季即將到來";"Squadron Battle Season is coming soon";;
"clan/battle_season/name";"{year}-{num}";"{year}-{num}";"{year}-{num}";"{year}-{num}";"{year}-{num}";"{year}-{num}";"{year}-{num}";"{year}-{num}";"{year}-{num}";"{year}-{num}";"{year}-{num}";"{year}-{num}";"{year}-{num}";"{year}-{num}";"{year}-{num}";"{year}–{num}";"{year}-{num}";"{year}–{num}";"{year}-{num}";"{year}-{num}";"{year}-{num}";;
"clan/season_award/title";"{achievement} in {battleType} in {season}";"{achievement} en {battleType} en {season}";"{place} in {battleType} in {season}";"{achievement} in {battleType} in {season}";"{achievement} en {battleType} durante {season}";"{achievement} в {battleType} в сезоне {season}";"{achievement} w {battleType} w {season}";"{achievement} v {battleType} v {season}";"{season} içinde {battleType} modunda {achievement}";"{season}\t：\t在\t{battleType}\t中\t获\t得\t了\t{achievement}";"{season} で {battleType} で {achievement}";"{achievement} in {battleType} in {season}";"{achievement} in {battleType} in {season}";"{place} в {battleType} в {season}";"{achievement} u {battleType} u {season}";"{achievement}: {battleType}, {season}. szezon";"{season}의 {battleType}에서 {place}";"{achievement} у {battleType} у сезоне {season}";"{achievement} în {battleType} în {season}";"{season}：在{battleType} 中獲得了{achievement}";"{season}\t：\t在\t{battleType}\t中\t获\t得\t了\t{achievement}";"NOT TRANSLATED";
"clan/season_award/desc/place";"Squadron {squadron} won {place} in squadron {battleType} in season {season}.";"L’Escadron {squadron} a remporté {place} dans l'escadron {battleType} de la saison {season}.";"La squadriglia {squadron} ha ottenuto il {place} nella stagione {season} nella {battleType} di squadriglia.";"Die Kampfgruppe {squadron} erreichte den {place} in Kampfgruppen {battleType} der Saison {season}.";"Escuadrón {squadron} obtuvo {place} en {battleType} de Escuadrón durante la temporada {season}.";"Полк {squadron} занял {place} в полковых {battleType} в сезоне {season}.";"Dywizjon {squadron} był {place} w {battleType} w {season} sezonie.";"Svaz {squadron} vyhrál {place} ve svazové {battleType} v sezoně {season}";"Filo {squadron} {season} sezonunda {battleType} modunda {place} kazandı.";"{season}\t：\t{squadron} \t联\t队\t在\t {battleType} \t模\t式\t联\t队\t战\t中\t获\t得\t了\t {place} \t名\t。";"シーズン{season} の{battleType} で{squadron} 部隊が{place} を\t獲得しました。";"Squadron {squadron} won {place} in squadron {battleType} in season {season}.";"Squadron {squadron} won {place} in squadron {battleType} in season {season}.";"Полк {squadron} зайняв {place} в полкових {battleType} в сезоні {season}.";"Eskadrila {squadron} je osvojila {place} u klanskim {battleType} u sezoni {season}.";"A(z) {squadron} század {place} lett {battleType} játékmódban a {season}. századcsataszezonban.";"{squadron} 비행대가 {season} 시즌의 비행대 {battleType} 에서 {place}를 기록했습니다.";"Полк {squadron} заняў {place} у палкавых {battleType} у сезоне {season}.";"Compania {squadron} a obținut {place} în {battleType} între companii în sezonul {season}.";"{season}：{squadron} 聯隊在 {battleType} 模式聯隊戰中獲得了第 {place} 名";"{season}\t：\t{squadron} \t联\t队\t在\t {battleType} \t模\t式\t联\t队\t战\t中\t获\t得\t了\t {place} \t名\t。";;
"clan/season_award/desc/top";"Squadron {squadron} reached the {top} in squadron {battleType} in season {season}.";"L'Escadron {squadron} a atteint le {top} en Escadron {battleType} de la saison {season}.";"La squadriglia {squadron} ha ottenuto il {top} nella stagione {season} nella {battleType} di squadriglia.";"Die Kampfgruppe {squadron} erreichte den {top} in Kampfgruppen {battleType} der Saison {season}.";"Escuadrón {squadron} alcanzó el {top} lugar en {battleType} de Escuadrón durante la temporada {season}.";"Полк {squadron} попал в {top} в полковых {battleType} в сезоне {season}.";"Dywizjon {squadron} osiągnął {top} w {battleType} w {season} sezonie.";"Svaz {squadron} získal {place} ve svazové {battleType} v sezoně {season}";"Filo {squadron} {season} sezonunda {battleType} modunda {top} erişti.";"{season}\t：\t{squadron} \t联\t队\t在\t {battleType} \t模\t式\t联\t队\t战\t中\t获\t得\t了\t{top}\t。";"シーズン{season} の {battleType} で{squadron} 部隊が {top} に\t到達しました。";"Squadron {squadron} reached the {top} in squadron {battleType} in season {season}.";"Squadron {squadron} reached the {top} in squadron {battleType} in season {season}.";"Полк {squadron} потрапив в {top} в полкових {battleType} в сезоні {season}.";"Eskadrila {squadron} je stigla do {top} u klanskim {battleType} u sezoni {season}.";"A(z) {squadron} század bejutott a {top} közé {battleType} játékmódban a {season}. századcsataszezonban.";"{squadron} 비행대가 {season} 시즌의 비행대 {battleType} 에서 {top}에 올랐습니다.";"Полк {squadron} трапіў у {top} у палкавых {battleType} у сезоне {season}.";"Compania {squadron} a ajuns în {top} în {battleType} între companii în sezonul {season}.";"{season}：{squadron} 聯隊在 {battleType} 模式聯隊戰中獲得了{top}";"{season}\t：\t{squadron} \t联\t队\t在\t {battleType} \t模\t式\t联\t队\t战\t中\t获\t得\t了\t{top}\t。";;
"clan/season_award/desc/rating";"Squadron {squadron} earned {ratingValue} rating in squadron {battleType} in season {season}.";"L'Escadron {squadron} a obtenu la cote {ratingValue} en Escadron {battleType} de la saison {season}.";"La Squadriglia {squadron} ha raggiunto il {ratingValue} posto nella stagione {season} nelle battaglie {battleType}.";"Die Kampfgruppe {squadron} errang eine Wertung von {ratingValue} in Kampfgruppen {battleType} der Saison {season}.";"Escuadrón {squadron} obtuvo {ratingValue} en {battleType} de Escuadrón durante la temporada {season}.";"Полк {squadron} заработал рейтинг {ratingValue} в полковых {battleType} в сезоне {season}.";"Dywizjon {squadron} otrzymał {ratingValue} ocenę w {battleType} w sezonie {season}.";"Svaz {squadron} dosáhl {ratingValue} ve svazové {battleType} v sezoně {season}";"Filo {squadron} {season} sezonunda {battleType} modunda {ratingValue} derecesini kazandı.";"{season}\t：\t{squadron}\t联\t队\t在\t{battleType}\t中\t获\t得\t了\t {ratingValue} \t评\t分\t。";"シーズン{season} の {battleType} で{squadron} 部隊が {ratingValue} レーティングを\t獲得しました。";"Squadron {squadron} earned {ratingValue} rating in squadron {battleType} in season {season}.";"Squadron {squadron} earned {ratingValue} rating in squadron {battleType} in season {season}.";"Полк {squadron} заробив рейтинг {ratingValue} в полкових {battleType} в сезоні {season}.";"Eskadrila {squadron} je zaradila {ratingValue} rejting u klanskim {battleType} u sezoni {season}.";"A(z) {squadron} század {ratingValue} értékelést ért el {battleType} játékmódban a {season}. századcsataszezonban.";"{squadron} 대대가 {season} 시즌의 {battleType}에서 {ratingValue} 등급을 받았습니다.";"Полк {squadron} здабыў рэйтынг {ratingValue} у палкавых {battleType} у сезоне {season}.";"Compania {squadron} a câștigat {ratingValue} puncte de cotare în {battleType} între companii în sezonul {season}.";"{season}：{squadron} 聯隊在{battleType} 中獲得了 {ratingValue} 評分";"{season}\t：\t{squadron}\t联\t队\t在\t{battleType}\t中\t获\t得\t了\t {ratingValue} \t评\t分\t。";"NOT TRANSLATED";
"clan/season_award/place/place1";"1st place";"1ère place";"1° posto";"I. Platz";"1er Lugar";"1-е место";"1 miejsce";"1. místo";"1. sıra";"冠\t军";"1位";"1st place";"1st place";"1 місце";"1. mesto";"1. helyezett";"1위";"1-е месца";"locul 1";"第 1 名";"冠\t军";;
"clan/season_award/place/place2";"2nd place";"2ème place";"2° posto";"II. Platz";"2 º Lugar";"2-е место";"2 miejsce";"2. místo";"2. sıra";"亚\t军";"2位";"2nd place";"2nd place";"2 місце";"2. mesto";"2. helyezett";"2위";"2-е месца";"locul 2";"第 2 名";"亚\t军";;
"clan/season_award/place/place3";"3rd place";"3ème place";"3° posto";"III. Platz";"3er Lugar";"3-е место";"3 miejsce";"3. místo";"3. sıra";"季\t军";"3位";"3rd place";"3rd place";"3 місце";"3. mesto";"3. helyezett";"3위";"3-е месца";"locul 3";"第 3 名";"季\t军";;
"clan/season_award/place/placeN";"{placeNum} place";"{placeNum}e place";"{placeNum} posto";"{placeNum}. Platz";"{placeNum} Lugar";"{placeNum}-е место";"{placeNum} miejsce";"{placeNum} místo";"{placeNum} sıra";"{placeNum} \t名";"{placeNum} 位";"{placeNum} place";"{placeNum} place";"{placeNum} місце";"{placeNum} mesto";"{placeNum}. helyezett";"{placeNum}위";"{placeNum}-е месца";"locul {placeNum}";"{placeNum} 名";"{placeNum} \t名";"NOT TRANSLATED";
"clan/season_award/place/top";"Top {top}";"Top {top}";"I Migliori {top}";"Top {top}";"Top {top}";"Топ {top}";"Pierwsza {top}";"Nejvýše {top}";"En iyi {top}";"前\t {top}";"トップ {top}";"Top {top}";"Top {top}";"Топ {top}";"Top {top}";"Legjobb {top}";"최고 {top}";"{top} найлепшых";"Primii {top}";"前 {top}";"前\t {top}";;
"clan/season_award/rating";"Rating {ratingValue}";"Cote {ratingValue}";"Posizione {ratingValue}";"Wertung {ratingValue}";"Puesto {ratingValue}";"Рейтинг {ratingValue}";"Ocena {ratingValue}";"Hodnocení {ratingValue}";"Derecelendirme {ratingValue}";"评\t分\t {ratingValue}";"レーディング {ratingValue}";"Rating {ratingValue}";"Rating {ratingValue}";"Рейтинг {ratingValue}";"Rejting {ratingValue}";"Értékelés: {ratingValue}";"{ratingValue} 등급";"Рэйтынг {ratingValue}";"Cotare {ratingValue}";"評分 {ratingValue}";"评\t分\t {ratingValue}";;
"clan/season_award/desc/lower_places_awards_included";"Plus also rewards for previous places";"Et également des récompenses pour les places précédentes";"Ed anche ricompense per posizioni precedenti";"Sowie Belohnungen für vorangehende Platzierungen";"Y además premios por posiciones previas";"А также награды за предыдущие места";"Oraz nagrody za poprzednie miejsca";"A také odměny pro předchozí místa";"Ve ayrıca önceki yerler için ödüller";"同\t时\t也\t会\t获\t得\t更\t低\t排\t名\t的\t奖\t励";"前回の\t順位の\t報酬";"Plus also rewards for previous places";"Plus also rewards for previous places";"А також нагороди за попередні місця";"I takođe nagrade za prethodna mesta";"És az alsóbb helyezésekért járó jutalmak";"및 이전 순위에 대한 보상";"А таксама ўзнагароды за папярэднія месцы";"Și recompensele pentru locurile anterioare";"同時也會獲得低排名的獎勵";"同\t时\t也\t会\t获\t得\t更\t低\t排\t名\t的\t奖\t励";"NOT TRANSLATED";
"clan/season_award_ww/title";"{achievement} in {season}";"{achievement} dans {season}";"{achievement} in {season}";"{achievement} in {season}";"{achievement} en {season}";"{achievement} в сезоне {season}";"{achievement} w {season}";"{achievement} in {season}";"{achievement} in {season}";"{season}\t：\t获\t得\t了\t{achievement}";"{season} の{achievement}";"{achievement} in {season}";"{achievement} in {season}";"{achievement} в сезоні {season}";"{achievement} in {season}";"{achievement} in {season}";"{season} 에서 {achievement} 달성";"{achievement} in {season}";"{achievement} în {season}";"{achievement} 在 {season}";"{achievement} in {season}";"NOT TRANSLATED";
"clan/season_award_ww/desc/place";"Squadron {squadron} won {place} in season {season}.";"L’escadron {squadron} a gagné {place} dans la saison {season}.";"La Squadriglia {squadron} ha vinto il {place} nella stagione {season}.";"Kampfgruppe {squadron} gewann den {place} in Saison {season}.";"Escuadrón {squadron} obtuvo {place} en temporada {season}.";"Полк {squadron} занял {place} в сезоне {season}.";"Dywizjon {squadron} zajął {place} w sezonie {season}.";"Squadron {squadron} won {place} in season {season}.";"Squadron {squadron} won {place} in season {season}.";"{season}\t：\t联\t队\t {squadron} \t获\t得\t了\t {place} \t名\t。";" {squadron} 部隊が\tシーズン {season} で {place} 位になりました。";"Squadron {squadron} won {place} in season {season}.";"Squadron {squadron} won {place} in season {season}.";"Полк {squadron} зайняв{place} в сезоні {season}.";"Squadron {squadron} won {place} in season {season}.";"Squadron {squadron} won {place} in season {season}.";"비행대 {squadron} 이(가) 시즌 {season} 에 {place} 을(를) 차지함";"Squadron {squadron} won {place} in season {season}.";"Compania {squadron} a câștigat {place} în sezonul {season}.";"聯隊 {squadron} 獲勝 {place} 在賽季 {season}";"Squadron {squadron} won {place} in season {season}.";;
"clan/season_award_ww/desc/top";"Squadron {squadron} reached the {top} in season {season}.";"L’escadron {squadron} a atteint le {top} dans la saison {season}.";"La Squadriglia {squadron} ha raggiunto il {top} nella stagione {season}.";"Die Kampfgruppe {squadron} erreichte den {top} in Kampfgruppen {season} der Saison.";"Escuadrón {squadron} alcanzó el {top} en temporada {season}.";"Полк {squadron} попал в {top} в сезоне {season}.";"Dywizjon {squadron} osiągnął {top} w sezonie {season}.";"Squadron {squadron} reached the {top} in season {season}.";"Squadron {squadron} reached the {top} in season {season}.";"{season}\t：\t联\t队\t {squadron} \t获\t得\t了\t{top}\t。";"シーズン の {season} で{squadron} 部隊が {top} に\t到達しました。";"Squadron {squadron} reached the {top} in season {season}.";"Squadron {squadron} reached the {top} in season {season}.";"Полк {squadron} потрапив в {top} в сезоні {season}.";"Squadron {squadron} reached the {top} in season {season}.";"Squadron {squadron} reached the {top} in season {season}.";"비행대 {squadron} 이(가) 시즌 {season} 에 {top} 을(를) 달성함";"Squadron {squadron} reached the {top} in season {season}.";"Compania {squadron} a ajuns în primele {top} în sezonul {season}.";"Squadron {squadron} reached the {top} in season {season}.";"Squadron {squadron} reached the {top} in season {season}.";;
"clan/season_award_ww/desc/rating";"Squadron {squadron} earned {ratingValue} rating in season {season}.";"L'escadron {squadron} a obtenu la côte {ratingValue} dans la saison {season}.";"La Squadriglia {squadron} ha ottenuto {ratingValue} punti nella stagione {season}.";"Die Kampfgruppe {squadron} errang eine Wertung von {ratingValue} in Kampfgruppen {season} der Saison.";"Escuadrón {squadron} alcanzó el puntaje {ratingValue} en temporada {season}.";"Полк {squadron} заработал рейтинг {ratingValue} в сезоне {season}.";"Dywizjon {squadron} otrzymał ocenę {ratingValue} w sezonie {season}.";"Squadron {squadron} earned {ratingValue} rating in season {season}.";"Squadron {squadron} earned {ratingValue} rating in season {season}.";"{season}\t：\t联\t队\t {squadron} \t获\t得\t了\t {ratingValue} \t评\t分\t。";"シーズン の {season} で{squadron} 部隊が {ratingValue} レーティングを\t獲得しました。";"Squadron {squadron} earned {ratingValue} rating in season {season}.";"Squadron {squadron} earned {ratingValue} rating in season {season}.";"Полк {squadron} заробив рейтинг {ratingValue} в сезоні {season}.";"Squadron {squadron} earned {ratingValue} rating in season {season}.";"Squadron {squadron} earned {ratingValue} rating in season {season}.";"비행대 {squadron} 이(가) 시즌 {season} 에 {ratingValue} 레이팅을 획득함";"Squadron {squadron} earned {ratingValue} rating in season {season}.";"Compania {squadron} a câștigat {ratingValue} puncte în sezonul {season}.";"Squadron {squadron} earned {ratingValue} rating in season {season}.";"Squadron {squadron} earned {ratingValue} rating in season {season}.";"NOT TRANSLATED";
"clan/back_to_clanlist";"To Squadrons List";"Vers liste des escadrons";"Lista delle Squadriglia";"Zur Kampfgruppenliste";"A la lista de escuadrones";"К списку полков";"Do Listy Dywizjonów";"Do seznamu svazů";"Filo Listesine Dön";"返\t回\t联\t队\t列\t表";"部隊\tリストへ";"Lista dos esquadrões";"To Squadrons List";"До списку полків";"Na listu eskadrila";"Vissza a századok listájához";"비행대 목록으로 돌아가기";"Да спіса палкоў";"Listă companii";"返回聯隊列表";"返\t回\t联\t队\t列\t表";;
"clan/stats";"Statistics";"Statistiques de l'escadron";"Statistiche";"Kampfgruppenstatistik";"Estadísticas del escuadrón";"Статистика";"Statystyki";"Statistiky svazu";"Filo İstatistikleri";"数\t据\t统\t计";"部隊の\t統計情報";"Estatísticas do esquadrão";"Statistics";"Статистика полку";"Statistika eskadrile";"Statisztika";"비행대 전적";"Статыстыка палка";"Statistică";"聯隊資料統計";"联\t队\t数\t据\t统\t计";;
"clan/creationDate";"Creation Date:";"Date de création :";"Data di creazione:";"Gründungsdatum:";"Fecha de creación:";"Дата создания:";"Data Utworzenia:";"Datum vytvoření:";"Oluşturma Tarihi:";"创\t建\t日\t期\t：";"結成日:";"Data de criação:";"Creation Date:";"Дата створення:";"Datum formiranja:";"Alapítás dátuma:";"창설일:";"Дата стварэння:";"Dată creare:";"創建日期:";"创\t建\t日\t期\t：";;
"clan/lastChanges";"Previous Changes";"Modifications précédentes";"Ultime Modifiche";"Bisherige Änderungen";"Cambios previos";"Последние изменения";"Ostatnie zmiany";"Předchozí změny";"Önceki Değişiklikler";"上\t一\t次\t修\t改";"前回の\t変更";"Previous Changes";"Previous Changes";"Останні зміни";"Prethodne Promene";"Korábbi módosítások";"이전 변경 내용";"Апошнія змены";"Modificări anterioare";"之前的變更";"上\t一\t次\t修\t改";"NOT TRANSLATED";
"clan/memberListTitle";"Members";"Membres";"Membri";"Kampfgruppenmitglieder";"Miembros del escuadrón";"Состав";"Członkowie";"Členové svazu";"Filo Üyeleri";"成\t员";"部隊\tメンバー";"Membros do esquadrão";"Members";"Склад полку";"Članovi eskadrile";"Századtagok";"대원";"Склад палка";"Membri";"成員";"联\t队\t成\t员";;
"clan/akills";"Air Targets Destroyed";"Cibles aériennes détruites";"Bersagli aerei distrutti";"Zerstörte Luftziele";"Objetivos aéreos destruidos";"Уничтожено воздушных целей";"Zniszczone cele powietrzne";"Zničená letadla";"Yok edilen hava hedefleri";"空\t中\t目\t标\t击\t坠\t数";"撃墜した\t空中目標";"Alvos aéreos destruídos";"Air Targets Destroyed";"Знищено повітряних цілей";"Uništene vazdušne mete";"Megsemmisített légi célpontok";"공중 목표 격추";"Знішчыў паветраных цэляў";"Ținte aeriene distruse";"空中目標摧毀數";"空\t中\t目\t标\t击\t坠\t数";;
"clan/gkills";"Ground Targets Destroyed";"Cibles terrestres détruites";"Bersagli terrestri distrutti";"Zerstörte Bodenziele";"Objetivos terrestres destruidos";"Уничтожено наземных целей";"Zniszczone cele naziemne";"Zničené pozemní jednotky";"Yok edilen yer hedefleri";"地\t面\t单\t位\t摧\t毁\t数";"撃破した\t地上目標";"Alvos terrestres destruídos";"Ground Targets Destroyed";"Знищено наземних цілей";"Uništene kopnene mete";"Megsemmisített földi célpontok";"지상 목표 격파";"Знішчыў наземных цэляў";"Ținte terestre distruse";"地面目標摧毀數";"地\t面\t单\t位\t摧\t毁\t数";;
"clan/rating";"Personal squadron rating";"Cote personnelle dans l'Escadron";"Valutazione squadriglia personale";"Individueller Kampfgruppen-Gefechtswert";"Evaluación Personal en el Escuadrón";"Личный полковой рейтинг";"Osobista ocena Dywizjonu";"Osobní hodnocení svazu";"Kişisel filo derecelendirmesi";"联\t队\t个\t人\t评\t分";"個人部隊\tレート";"Avaliação pessoal do esquadrão";"Personal squadron rating";"Особистий полковий рейтинг";"Lični rejting eskadrile";"Egyéni értékelés";"비행대 내 개별 등급";"Асабісты палкавы рэйтынг";"Cotare personală";"聯隊個人評分";"联\t队\t个\t人\t评\t分";"NOT TRANSLATED";
"clan/squadron_rating";"Squadron rating";"Niveau de l'escadron";"Classifica Squadriglia";"Kampfgruppen-Gefechtswert";"Puntuación del escuadrón";"Рейтинг полка";"Ocena Dywizjonu";"Hodnocení svazu";"Filo derecesi";"联\t队\t评\t分";"部隊\tレート";"Squadron rating";"Squadron rating";"Рейтинг полку";"Rejting eskadrile";"Századértékelés";"비행대 평가 지수";"Рэйтынг палка";"Cotare companie";"聯隊評分";"联\t队\t评\t分";"NOT TRANSLATED";
"clan/activity";"Activity";"Activité";"Attività";"Aktivität";"Actividad";"Активность";"Aktywność";"Aktivita";"Faaliyet";"活\t跃\t度";"アクティビティ";"Activity";"Activity";"Активність";"Aktivnost";"Aktivitás";"활동량";"Актыўнасць";"Activitate";"活動";"活\t跃\t度";"NOT TRANSLATED";
"clan/vehicles";"Squadron vehicles";"Véhicules d'escadron";"Unità di Squadriglia";"Kampfgruppen-Fahrzeuge";"Vehículos de Escuadrón";"Полковая техника";"Maszyny dywizjonowe";"Squadron vehicles";"Squadron vehicles";"联\t队\t载\t具";"部隊兵器";"Squadron vehicles";"Squadron vehicles";"Полкова техніка";"Squadron vehicles";"Squadron vehicles";"비행대 장비";"Squadron vehicles";"Vehicule companie";"聯隊載具";"Squadron vehicles";"NOT TRANSLATED";
"clan/squadron_activity";"Squadron activity";"Activité de l'escadron";"Attività Squadriglia";"Kampfgruppen-Aktivität";"Actividad del Escuadrón";"Активность полка";"Aktywność Dywizjonu";"Aktivita svazu";"Filo aktivitesi";"联\t队\t活\t跃\t程\t度";"部隊活動";"Squadron activity";"Squadron activity";"Активність полку";"Aktivnost Eskadrile";"Századaktivitás";"비행대 활동량";"Актыўнасць палка";"Activitate companie";"聯隊活動";"联\t队\t活\t跃\t程\t度";"NOT TRANSLATED";
"clan/my_activity";"My activity";"Mon activité";"La mia attività";"Meine Aktivität";"Mi actividad";"Моя активность";"Moja aktywność";"My activity";"My activity";"本\t人\t活\t跃\t度";"貢献率";"My activity";"My activity";"Моя активність";"My activity";"My activity";"나의 활동";"My activity";"Activitatea mea";"我的活動";"My activity";"NOT TRANSLATED";
