"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"item/discount/description/mods_open/aircraft/multiple";"Up to {discount} discount on accelerated modification research for vehicles.";"Jusqu'à {discount} de remise sur la recherche accélérée de modifications pour les véhicules.";"Fino al {discount} di sconto sulla ricerca accelerata delle modifiche.";"Bis zu {discount} Rabatt auf die beschleunigte Modifikationsforschung von Fahrzeugen.";"hasta un {discount} de descuento en la investigación acelerada para cualquier vehículo.";"Скидка до {discount} на ускоренное исследование модификаций техники.";"Do {discount} zniżki na przyspieszone badania modyfikacji maszyn.";"Až {discount} sleva na zrychlený výzkum modifikací pro stroje";"Araçlar için hızlandırılmış modifikasyon araştırmasında {discount}'a varan indirim.";"金\t鹰\t购\t买\t改\t装\t件\t最\t高\t享\t受\t {discount} \t优\t惠";"機体・\t車両の\t改良研究の\tスピードアップを\t最大{discount}割引。";"Até {discount} de desconto na pesquisa acelerada de modificações em veículos.";"Up to {discount} discount on accelerated modification research for vehicles.";"Знижка до {discount} на прискорене дослідження модифікацій техніки.";"Popust na ubrzano istraživanje modifikacija za vozila do <color=@userlogColoredText>{discount}%</color> .";"Akár {discount} kedvezmény a járművek gyorsított modifikációfejlesztésére.";"부품 연구 가속비 최대 {discount} 할인";"Зніжка да {discount} на паскоранае даследаванне мадыфікацый тэхнікі.";"Până la {discount} reducere pentru cercetarea accelerată a modificărilor pentru vehicule.";"載具加速研發改裝部件最高享有 {discount} 折扣優惠。";"金\t鹰\t购\t买\t改\t装\t件\t最\t高\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/mods_premium/all";"{discount} discount on ""Talisman"" for any vehicle{countryNameOptional}.";"Remise de {discount} sur un ""Talisman"" pour n'importe quel véhicule{countryNameOptional}.";"{discount} sconto sul ""Talismano"" per qualsiasi unità{countryNameOptional}.";"{discount} Rabatt auf den 'Talisman' für jegliches Fahrzeug{countryNameOptional}.";"{discount}de descuento en un ""Talismán"" para cualquier vehículo{countryNameOptional}.";"Скидка {discount} на ""Талисман"" для любой техники{countryNameOptional}.";"{discount} zniżki na „Talizman” dla dowolnej maszyny{countryNameOptional}.";"{discount} sleva na ""Talisman"" pro jakýkoliv stroj {countryNameOptional}";"Herhangi bir araca{countryNameOptional} {discount} ""Tılsım"" indirimi.";"购\t买\t任\t意\t{countryNameOptional}\t载\t具\t的\t“\t护\t身\t符\t”\t享\t受\t {discount} \t优\t惠";"機体・\t車両{countryNameOptional}の「お\t守り」\tを{discount}割引。";"{discount} de desconto no ''Talismã'' de qualquer veículo{countryNameOptional}.";"{discount} discount on ""Talisman"" for any vehicle{countryNameOptional}.";"Знижка {discount} на ""Талісман"" для будь-якої техніки{countryNameOptional}.";"<color=@userlogColoredText>{discount}%</color> popust na ""Talisman"" za sva vozila {countryNameOptional}.";"{discount} kedvezmény talizmán vásárlására bármelyik járműhöz. {countryNameOptional}";"모든 장비의 ""부적"" {discount} 할인{countryNameOptional}";"Зніжка {discount} на «Талісман» для любой тэхнікі {countryNameOptional}.";"{discount} reducere pentru „Talisman” pentru orice vehicul {countryNameOptional}.";"任意載具 {countryNameOptional} ""護身符""享有 {discount} 折扣優惠。";"购\t买\t任\t意\t{countryNameOptional}\t载\t具\t的\t“\t高\t级\t研\t发\t指\t南\t”\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/mods_premium/all_premium";"{discount} discount on ""Talisman"" for any premium vehicle{countryNameOptional}.";"Remise de {discount} sur un ""Talisman"" pour n'importe quel véhicule premium{countryNameOptional}.";"{discount} sconto sul ""Talismano"" per qualsiasi unità premium{countryNameOptional}.";"{discount} Rabatt auf den 'Talisman' für jegliches Premiumfahrzeug{countryNameOptional}.";"{discount}de descuento en un ""Talismán"" para cualquier vehículo premium{countryNameOptional}.";"Скидка {discount} на ""Талисман"" для любой премиумной техники{countryNameOptional}.";"{discount} zniżki na „Talizman” dla każdej maszyny premium{countryNameOptional}.";"{discount} sleva na ""Talisman"" pro jakýkoliv prémiový stroj {countryNameOptional}";"Herhangi bir premium araca{countryNameOptional} {discount} ""Tılsım"" indirimi.";"购\t买\t任\t意\t{countryNameOptional}\t高\t级\t载\t具\t的\t“\t护\t身\t符\t”\t享\t受\t {discount} \t优\t惠";"プレミアム\t機体・\t車両{countryNameOptional}の「お\t守り」\tを{discount}割引。";"{discount} de desconto no ''Talismã'' de qualquer veículo premium{countryNameOptional}.";"{discount} discount on ""Talisman"" for any premium vehicle{countryNameOptional}.";"Знижка {discount} на ""Талісман"" для будь-якої преміумної техніки{countryNameOptional}.";"<color=@userlogColoredText>{discount}%</color> popust na ""Talisman"" za sva premijum vozila {countryNameOptional}.";"{discount} kedvezmény talizmán vásárlására bármelyik prémiumjárműhöz. {countryNameOptional}";"프리미엄 장비의 ""부적"" {discount} 할인{countryNameOptional}";"Зніжка {discount} на «Талісман» для любой прэміумнай тэхнікі {countryNameOptional}.";"{discount} reducere pentru „Talisman” pentru orice vehicul special {countryNameOptional}.";"高級載具 {countryNameOptional} ""護身符""享有 {discount} 折扣優惠。";"购\t买\t任\t意\t{countryNameOptional}\t高\t级\t载\t具\t的\t“\t高\t级\t研\t发\t指\t南\t”\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/mods_premium/rank";"{discount} discount on ""Talisman"" for any vehicle of rank {rank}{countryNameOptional}.";"Remise de {discount} sur un ""Talisman"" pour n'importe quel véhicule de rang {rank}{countryNameOptional}.";"{discount} sconto sul ""Talismano"" per qualsiasi unità di era {rank}{countryNameOptional}.";"{discount} Rabatt auf den 'Talisman' für jegliches Rang-{rank}-Fahrzeug{countryNameOptional}.";"{discount}de descuento en un ""Talismán"" para cualquier vehículo de rango{rank}{countryNameOptional}.";"Скидка {discount} на ""Талисман"" для любой техники {rank} ранга{countryNameOptional}.";"{discount} zniżki na „Talizman” dla dowolnej maszyny {rank} ery{countryNameOptional}.";"{discount} sleva na ""Talisman"" pro jakýkoliv stroj {rank}. úrovně {countryNameOptional}";"Herhangi bir seviye {rank} araca{countryNameOptional} {discount} ""Tılsım"" indirimi.";"购\t买\t任\t意\t{countryNameOptional} {rank} \t级\t载\t具\t的\t“\t护\t身\t符\t”\t享\t受\t {discount} \t优\t惠";"乗り\t物の\tランク{rank}{countryNameOptional}の「お\t守り」\tを{discount}割引。";"{discount} de desconto no ''Talismã'' de qualquer veículo de nível {rank}{countryNameOptional}.";"{discount} discount on ""Talisman"" for any vehicle of rank {rank}{countryNameOptional}.";"Знижка {discount} на ""Талісман"" для будь-якої техніки {rank} рангу{countryNameOptional}.";"<color=@userlogColoredText>{discount}%</color> popust na ""Talisman"" za sva vozila {rank} ranga {countryNameOptional}.";"{discount} kedvezmény talizmán vásárlására bármelyik {rank}. rangú járműhöz. {countryNameOptional}";"모든 {rank}랭크 장비의 ""부적"" {discount} 할인{countryNameOptional}";"Зніжка {discount} на «Талісман» для любой тэхнікі {rank} рангу {countryNameOptional}.";"{discount} reducere pentru „Talisman” pentru orice vehicul de rang {rank} {countryNameOptional}.";"任意{rank}級載具{countryNameOptional} ""護身符""享有 {discount} 折扣優惠。";"购\t买\t任\t意\t{countryNameOptional} {rank} \t级\t载\t具\t的\t“\t高\t级\t研\t发\t指\t南\t”\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/mods_premium/rank_premium";"{discount} discount on ""Talisman"" for any premium vehicle of rank {rank}{countryNameOptional}.";"Remise de {discount} sur un ""Talisman"" pour n'importe quel véhicule premium de rang {rank}{countryNameOptional}.";"{discount} sconto sul ""Talismano"" per qualsiasi unità premium di era {rank}{countryNameOptional}.";"{discount} Rabatt auf den 'Talisman' für jegliches Rang-{rank}-Premiumfahrzeug{countryNameOptional}.";"{discount}de descuento en un ""Talismán"" para cualquier vehículo premium de rango{rank}{countryNameOptional}.";"Скидка {discount} на ""Талисман"" для любой премиумной техники {rank} ранга{countryNameOptional}.";"{discount} zniżki na „Talizman” dla dowolnej maszyny premium {rank} ery{countryNameOptional}.";"{discount} sleva na ""Talisman"" pro jakýkoliv prémiový stroj {rank}. úrovně {countryNameOptional}";"Herhangi bir seviye {rank} premium araca{countryNameOptional} {discount} ""Tılsım"" indirimi.";"购\t买\t任\t意\t{countryNameOptional} {rank} \t级\t高\t级\t载\t具\t的\t“\t护\t身\t符\t”\t享\t受\t {discount} \t优\t惠";"プレミアム\t機体・\t車両{rank}{countryNameOptional}の「お\t守り」\tを{discount}割引。";"{discount} de desconto no ''Talismã'' de qualquer veículo premium de nível {rank}{countryNameOptional}.";"{discount} discount on ""Talisman"" for any premium vehicle of rank {rank}{countryNameOptional}.";"Знижка {discount} на ""Талісман"" для будь-якої преміумної техніки {rank} рангу{countryNameOptional}.";"<color=@userlogColoredText>{discount}%</color> popust na ""Talisman"" za sva premijum vozila {rank} ranga {countryNameOptional}.";"{discount} kedvezmény talizmán vásárlására bármelyik {rank}. rangú prémiumjárműhöz. {countryNameOptional}";"모든 {rank}랭크 프리미엄 장비의 ""부적"" {discount} 할인{countryNameOptional}";"Зніжка {discount} на «Талісман» для любой прэміумнай тэхнікі {rank} рангу {countryNameOptional}.";"{discount} reducere pentru „Talisman” pentru orice vehicul special de rang {rank} {countryNameOptional}.";"任意{rank}級高級載具{countryNameOptional} ""護身符""享有 {discount} 折扣優惠。";"购\t买\t任\t意\t{countryNameOptional} {rank} \t级\t高\t级\t载\t具\t的\t“\t高\t级\t研\t发\t指\t南\t”\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/mods_premium/aircraft";"{discount} discount on ""Talisman"" for vehicle: <color=@userlogColoredText>{aircraftName}</color>";"Remise de {discount} sur un ""Talisman"" pour le véhicule : <color=@userlogColoredText>{aircraftName}</color>";"{discount} sconto sul ""Talismano"" per unità: <color=@userlogColoredText>{aircraftName}</color>";"{discount} Rabatt auf den 'Talisman' für Fahrzeug: <color=@userlogColoredText>{aircraftName}</color>";"{discount} de descuento en un ""Talismán"" para el vehículo: <color=@userlogColoredText>{aircraftName}</color>";"Скидка {discount} на ""Талисман"" для техники: <color=@userlogColoredText>{aircraftName}</color>";"{discount} zniżki na „Talizman” dla: <color=@userlogColoredText>{aircraftName}</color>";"{discount} sleva na ""Talisman"" pro stroj <color=@userlogColoredText>{aircraftName}</color>";"Araca {discount} ""Tılsım"" indirimi:  <color=@userlogColoredText>{aircraftName}</color>";"购\t买\t <color=@userlogColoredText>{aircraftName}</color> \t的\t“\t护\t身\t符\t”\t享\t受\t {discount} \t优\t惠";"機体・\t車両の「お\t守り」\tを{discount}割引: <color=@userlogColoredText>{aircraftName}</color>";"{discount} de desconto no ''Talismã'' do veículo: <color=@userlogColoredText>{aircraftName}</color>";"{discount} discount on ""Talisman"" for vehicle: <color=@userlogColoredText>{aircraftName}</color>";"Знижка {discount} на ""Талісман"" для техніки: <color=@userlogColoredText>{aircraftName}</color>";"<color=@userlogColoredText>{discount}%</color> popust na ""Talisman"" za vozila: <color=@userlogColoredText>{aircraftName}</color>";"{discount} kedvezmény talizmán vásárlására a(z) <color=@userlogColoredText>{aircraftName}</color> járműhöz.";"<color=@userlogColoredText>{aircraftName}</color>의 ""부적"" {discount} 할인";"Зніжка {discount} на «Талісман» для тэхнікі: <color=@userlogColoredText>{aircraftName}</color>";"{discount} reducere pentru „Talisman” pentru: <color=@userlogColoredText>{aircraftName}</color>";"載具: <color=@userlogColoredText>{aircraftName}</color> ""護身符""享有 {discount} 折扣優惠。";"购\t买\t <color=@userlogColoredText>{aircraftName}</color> \t的\t“\t高\t级\t研\t发\t指\t南\t”\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/mods_premium/aircraft/multiple";"Up to {discount} discount on ""Talisman"" for vehicles.";"Jusqu'à {discount} de remise sur un ""Talisman"" pour véhicules.";"Fino al {discount} di sconto sul ""Talismano"".";"Bis zu {discount} Rabatt auf den 'Talisman' für Fahrzeuge.";"Hasta un {discount} de descuento en un ""Talismán"" para vehiculos.";"Скидка до {discount} на ""Талисман"" для техники.";"Do {discount} zniżki na „Talizman” dla maszyn.";"Až {discount} sleva na ""Talisman"" pro stroje";"Araçlar için {discount}'a varan ""Tılsım"" indirimi.";"购\t买\t“\t护\t身\t符\t”\t最\t高\t享\t受\t {discount} \t优\t惠";"機体・\t車両の「お\t守り」\tを\t最大{discount}割引。";"Até <color=@userlogColoredText>{discount}%</color> de desconto no ''Talismã'' veículos.";"Up to {discount} discount on ""Talisman"" for vehicles.";"Знижка до {discount} на ""Талісман"" для техніки.";"Popust na ""Talisman"" za vozila do <color=@userlogColoredText>{discount}%</color> .";"Akár {discount} kedvezmény talizmán vásárlására.";"""부적"" 최대 {discount} 할인";"Зніжка да {discount} на «Талісман» для тэхнікі.";"Până la {discount} reducere pentru „Talisman” pentru vehicule.";"載具""護身符""最高享有 {discount} 折扣優惠。";"购\t买\t“\t高\t级\t研\t发\t指\t南\t”\t最\t高\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/spare/all";"{discount} discount on ""Backup"" for any vehicle{countryNameOptional}.";"Remise de {discount} sur un ""Backup"" pour n'importe quel véhicule{countryNameOptional}.";"{discount} sconto su ""Backup"" per qualsiasi unità{countryNameOptional}.";"{discount} Rabatt auf 'Gutscheine' für jegliches Fahrzeug{countryNameOptional}.";"{discount}de descuento en ""vehículo suplementario"" para cualquier vehículo {countryNameOptional}.";"Скидка {discount} на ""Дублер"" для любой техники{countryNameOptional}.";"{discount} zniżki na „Ponowne użycie” dla dowolnej maszyny{countryNameOptional}.";"{discount} sleva na ""Zálohu"" pro jakýkoliv stroj {countryNameOptional}";"Herhangi bir araca{countryNameOptional} {discount} ""Yedek"" indirimi.";"购\t买\t任\t意\t{countryNameOptional}\t载\t具\t的\t“\t备\t用\t载\t具\t”\t享\t受\t {discount} \t优\t惠";"機体・\t車両{countryNameOptional}の「バックアップ」\tを{discount}割引。";"{discount} de desconto no ''Backup'' de qualquer veículo{countryNameOptional}.";"{discount} discount on ""Backup"" for any vehicle{countryNameOptional}.";"Знижка {discount} на ""Дублер"" для будь-якої техніки{countryNameOptional}.";"<color=@userlogColoredText>{discount}%</color> popust na ""Backup"" za sva vozila {countryNameOptional}.";"{discount} kedvezmény tartalék vásárlására bármelyik járműhöz. {countryNameOptional}";"모든 장비의 ""예비 장비"" {discount} 할인{countryNameOptional}";"Зніжка {discount} на «Машыну-дублёр» для любой тэхнікі {countryNameOptional}.";"{discount} reducere pentru „Rezervă” pentru orice vehicul {countryNameOptional}.";"任意載具 {countryNameOptional} ""備用載具""享有 {discount} 折扣優惠。";"购\t买\t任\t意\t{countryNameOptional}\t载\t具\t的\t“\t备\t用\t载\t具\t”\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/spare/all_premium";"{discount} discount on ""Backup"" for any premium vehicle{countryNameOptional}.";"Remise de {discount} sur un ""Backup"" pour n'importe quel véhicule premium{countryNameOptional}.";"{discount} sconto su ""Backup"" per qualsiasi unità premium{countryNameOptional}.";"{discount} Rabatt auf 'Gutscheine' für jegliches Premiumfahrzeug{countryNameOptional}.";"{discount}de descuento en ""vehículo suplementario"" para cualquier vehículo premium {countryNameOptional}.";"Скидка {discount} на ""Дублер"" для любой премиумной техники{countryNameOptional}.";"{discount} zniżki na „Ponowne użycie” dla dowolnej maszyny premium{countryNameOptional}.";"{discount} sleva na ""Zálohu"" pro jakýkoliv prémiový stroj {countryNameOptional}";"Herhangi bir premium araca{countryNameOptional} {discount} ""Yedek"" indirimi.";"购\t买\t任\t意\t{countryNameOptional}\t高\t级\t载\t具\t的\t“\t备\t用\t载\t具\t”\t享\t受\t {discount} \t优\t惠";"プレミアム\t機体・\t車両{countryNameOptional}の「バックアップ」\tを{discount}割引。";"{discount} de desconto no ''Backup'' de qualquer veículo premium{countryNameOptional}.";"{discount} discount on ""Backup"" for any premium vehicle{countryNameOptional}.";"Знижка {discount} на ""Дублер"" для будь-якої преміумної техніки{countryNameOptional}.";"<color=@userlogColoredText>{discount}%</color> popust na ""Backup"" za sva premijum vozila {countryNameOptional}.";"{discount} kedvezmény tartalék vásárlására bármelyik prémiumjárműhöz. {countryNameOptional}";"프리미엄 장비의 ""예비 장비"" {discount} 할인{countryNameOptional}";"Зніжка {discount} на «Машыну-дублёр» для любой прэміумнай тэхнікі {countryNameOptional}.";"{discount} reducere pentru „Rezervă” pentru orice vehicul special {countryNameOptional}.";"高級載具 {countryNameOptional} ""備用載具""享有 {discount} 折扣優惠。";"购\t买\t任\t意\t{countryNameOptional}\t高\t级\t载\t具\t的\t“\t备\t用\t载\t具\t”\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/spare/rank";"{discount} discount on ""Backup"" for any vehicle of rank {rank}{countryNameOptional}.";"Remise de {discount} sur un ""Backup"" pour n'importe quel véhicule de rang {rank}{countryNameOptional}.";"{discount} sconto su ""Backup"" per qualsiasi unità di era {rank}{countryNameOptional}.";"{discount} Rabatt auf 'Gutscheine' für jegliches Rang-{rank}-Fahrzeug{countryNameOptional}.";"{discount}de descuento en ""vehículo suplementario"" para cualquier vehículo de rango {rank}{countryNameOptional}.";"Скидка {discount} на ""Дублер"" для любой техники {rank} ранга{countryNameOptional}.";"{discount} zniżki na „Ponowne użycie” dla dowolnej maszyny {rank} ery{countryNameOptional}.";"{discount} sleva na ""Zálohu"" pro jakýkoliv stroj {rank}. úrovně {countryNameOptional}";"Herhangi bir seviye {rank} araca{countryNameOptional} {discount} ""Yedek"" indirimi.";"购\t买\t任\t意\t{countryNameOptional} {rank} \t级\t载\t具\t的\t“\t备\t用\t载\t具\t”\t享\t受\t {discount} \t优\t惠";"機体・\t車両の\tランク{rank}{countryNameOptional}の「バックアップ」\tを{discount}割引。";"{discount} de desconto no ''Backup'' de qualquer veículo de nível {rank}{countryNameOptional}.";"{discount} discount on ""Backup"" for any vehicle of rank {rank}{countryNameOptional}.";"Знижка {discount} на ""Дублер"" для будь-якої техніки {rank} рангу{countryNameOptional}.";"<color=@userlogColoredText>{discount}%</color> popust na ""Backup"" za sva vozila {rank} ranga {countryNameOptional}.";"{discount} kedvezmény tartalék vásárlására bármelyik {rank}. rangú járműhöz. {countryNameOptional}";"모든 {rank}랭크 장비의 ""예비 장비"" {discount} 할인{countryNameOptional}";"Зніжка {discount} на «Машыну-дублёр» для любой тэхнікі {rank} рангу {countryNameOptional}.";"{discount} reducere pentru „Rezervă” pentru orice vehicul de rang {rank} {countryNameOptional}.";"任意{rank}級載具 {rank}{countryNameOptional} ""備用載具""享有 {discount} 折扣優惠。";"购\t买\t任\t意\t{countryNameOptional} {rank} \t级\t载\t具\t的\t“\t备\t用\t载\t具\t”\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/spare/rank_premium";"{discount} discount on ""Backup"" for any premium vehicle of rank {rank}{countryNameOptional}.";"Remise de {discount} sur un ""Backup"" pour n'importe quel véhicule premium de rang {rank}{countryNameOptional}.";"{discount} sconto su ""Backup"" per qualsiasi unità premium di era {rank}{countryNameOptional}.";"{discount} Rabatt auf 'Gutscheine' für jegliches Rang-{rank}-Premiumfahrzeug{countryNameOptional}.";"{discount}de descuento en ""vehículo suplementario"" para cualquier vehículo premium de rango {rank}{countryNameOptional}.";"Скидка {discount} на ""Дублер"" для любой премиумной техники {rank} ранга{countryNameOptional}.";"{discount} zniżki na „Ponowne użycie” dla dowolnego maszyny {rank} ery{countryNameOptional}.";"{discount} sleva na ""Zálohu"" pro jakýkoliv prémiový stroj {rank}. úrovně {countryNameOptional}";"Herhangi bir seviye {rank} premium araca{countryNameOptional} {discount} ""Yedek"" indirimi.";"购\t买\t任\t意\t{countryNameOptional} {rank} \t级\t高\t级\t载\t具\t的\t“\t备\t用\t载\t具\t”\t享\t受\t {discount} \t优\t惠";"プレミアム\t機体・\t車両の\tランク{rank}{countryNameOptional}の「バックアップ」\tを{discount}割引。";"{discount} de desconto no ''Backup'' de qualquer veículo premium de nível {rank}{countryNameOptional}.";"{discount} discount on ""Backup"" for any premium vehicle of rank {rank}{countryNameOptional}.";"Знижка {discount} на ""Дублер"" для будь-якої преміумної техніки {rank} рангу{countryNameOptional}.";"<color=@userlogColoredText>{discount}%</color> popust na ""Backup"" za sva premijum vozila {rank} ranga {countryNameOptional}.";"{discount} kedvezmény tartalék vásárlására bármelyik {rank}. rangú prémiumjárműhöz. {countryNameOptional}";"모든 {rank}랭크 프리미엄 장비의 ""예비 장비"" {discount} 할인{countryNameOptional}";"Зніжка {discount} на «Машыну-дублёр» для любой прэміумнай тэхнікі {rank} рангу {countryNameOptional}.";"{discount} reducere pentru „Rezervă” pentru orice vehicul special de rang {rank} {countryNameOptional}.";"任意{rank}級高級載具{countryNameOptional} ""備用載具""享有 {discount} 折扣優惠。";"购\t买\t任\t意\t{countryNameOptional} {rank} \t级\t高\t级\t载\t具\t的\t“\t备\t用\t载\t具\t”\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/spare/aircraft";"{discount} discount on ""Backup"" for vehicle: <color=@userlogColoredText>{aircraftName}</color>";"Remise de {discount} sur un ""Backup"" pour le véhicule : <color=@userlogColoredText>{aircraftName}</color>";"{discount} sconto su ""Backup"" per unità: <color=@userlogColoredText>{aircraftName}</color>";"{discount} Rabatt auf 'Gutscheine' für Fahrzeug: <color=@userlogColoredText>{aircraftName}</color>";"{discount}de descuento en ""vehículo suplementario"" para el vehículo: <color=@userlogColoredText>{aircraftName}</color>";"Скидка {discount} на ""Дублер"" для техники: <color=@userlogColoredText>{aircraftName}</color>";"{discount} zniżki na „Ponowne użycie” dla: <color=@userlogColoredText>{aircraftName}</color>";"{discount} sleva na ""Zálohu"" pro stroj <color=@userlogColoredText>{aircraftName}</color>";"Araca {discount} ""Yedek"" indirimi:  <color=@userlogColoredText>{aircraftName}</color>";"购\t买\t <color=@userlogColoredText>{aircraftName}</color> \t的\t“\t备\t用\t载\t具\t”\t享\t受\t {discount} \t优\t惠";"機体・\t車両の「バックアップ」\tを{discount}割引: <color=@userlogColoredText>{aircraftName}</color>";"{discount} de desconto no ''Backup'' do veículo: <color=@userlogColoredText>{aircraftName}</color>";"{discount} discount on ""Backup"" for vehicle: <color=@userlogColoredText>{aircraftName}</color>";"Знижка {discount} на ""Дублер"" для техніки: <color=@userlogColoredText>{aircraftName}</color>";"<color=@userlogColoredText>{discount}%</color> popust na ""Backup"" za vozila: <color=@userlogColoredText>{aircraftName}</color>";"{discount} kedvezmény tartalék vásárlására a(z) <color=@userlogColoredText>{aircraftName}</color> járműhöz.";"<color=@userlogColoredText>{aircraftName}</color>의 ""예비 장비"" {discount} 할인";"Зніжка {discount} на «Машыну-дублёр» для тэхнікі: <color=@userlogColoredText>{aircraftName}</color>";"{discount} reducere pentru „Rezervă” pentru: <color=@userlogColoredText>{aircraftName}</color>";"載具 <color=@userlogColoredText>{aircraftName}</color> ""備用載具""享有 {discount} 折扣優惠。";"购\t买\t <color=@userlogColoredText>{aircraftName}</color> \t的\t“\t备\t用\t载\t具\t”\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/spare/aircraft/multiple";"Up to {discount} discount on ""Backup"" for vehicles.";"Jusqu'à {discount} de remise sur un ""Backup"" pour les véhicules.";"Fino al {discount} di sconto sul ""Backup"".";"Bis zu {discount} Rabatt auf 'Gutscheine' für Fahrzeuge.";"hasta un {discount} de descuento en un ""Vehículo suplementario"" para vehículos.";"Скидка до {discount} на ""Дублер"" для техники.";"{discount} zniżki na „Ponowne użycie” dla maszyn.";"Až {discount} sleva na ""Zálohu"" pro stroje";"Araçlar için {discount}'a varan ""Yedek"" indirimi.";"购\t买\t“\t备\t用\t载\t具\t”\t最\t高\t享\t受\t {discount} \t优\t惠";"機体・\t車両の「バックアップ」\tへの\t最大{discount}までの\t割引。";"{discount} de desconto no ''Backup'' de veículos.";"Up to {discount} discount on ""Backup"" for vehicles.";"Знижка до {discount} на ""Дублер"" для техніки.";"Popust na ""Backup"" za vozila do <color=@userlogColoredText>{discount}%</color>.";"Akár {discount} kedvezmény tartalékjárművek vásárlására.";"""예비 장비"" 최대 {discount} 할인";"Зніжка да {discount} на «Машыну-дублёр» для тэхнікі.";"Până la {discount} reducere pentru „Rezervă” pentru vehicule.";"購買""備用載具""最高享受 {discount} 優惠。";"购\t买\t“\t备\t用\t载\t具\t”\t最\t高\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/weapons/all";"{discount} discount on secondary weapon purchase for any vehicle{countryNameOptional}.";"Remise de {discount} sur l'achat d'armes secondaires pour tout véhicule{countryNameOptional}.";"{discount} di scounto sull'acquisto delle armi secondarie per qualsiasi unità{countryNameOptional}.";"{discount} Rabatt auf den Kauf sekundärer Bewaffnung für jegliches Fahrzeug{countryNameOptional}.";"{discount} de descuento en la compra de un arma secundaria para cualquier vehículo{countryNameOptional}.";"Скидка {discount} на покупку подвесного оружия для любой техники{countryNameOptional}.";"{discount} zniżki na zakup dodatkowego uzbrojenia dla dowolnej maszyny{countryNameOptional}.";"{discount} sleva na nákup přídavné výzbroje pro jakýkoliv stroj {countryNameOptional}";"Herhangi bir araca{countryNameOptional} ikinci silah alımı için {discount}  indirim.";"购\t买\t任\t意\t{countryNameOptional}\t载\t具\t的\t副\t武\t器\t享\t受\t {discount} \t优\t惠";"機体・\t車両{countryNameOptional}の\t補助兵器購入を{discount}割引。";"{discount} de desconto em armamentos secundários de qualquer veículo{countryNameOptional}.";"{discount} discount on secondary weapon purchase for any vehicle{countryNameOptional}.";"Знижка {discount} на придбання підвісного озброєння для будь-якої техніки{countryNameOptional}.";"<color=@userlogColoredText>{discount}%</color> popust na kupovinu sekundarnog oružja za sva vozila {countryNameOptional}.";"{discount} kedvezmény másodlagos fegyver vásárlására bármelyik járműhöz. {countryNameOptional}";"모든 장비의 보조 무장 구입비 {discount} 할인{countryNameOptional}";"Зніжка {discount} на куплю падвеснага ўзбраення для любой тэхнікі {countryNameOptional}.";"{discount} reducere pentru cumpărarea armelor secundare pentru orice vehicul {countryNameOptional}.";"購買載具 {countryNameOptional} 的副武器享有 {discount} 折扣優惠。";"购\t买\t任\t意\t{countryNameOptional}\t载\t具\t的\t副\t武\t器\t享\t受\t {discount} \t优\t惠\t。";;
