"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"usa_service_cross/desc";;;;;;;;;;;;;;;;;;;;;;
"usa_conduct_medal_navy/name";"Navy Good Conduct Medal";"Médaille de bonne conduite de la Navy";"Medaglia alla Buona Condotta della Marina";"Medaille für gute Führung in der Marine";"Medalla de buen comportamiento de la Marina";"Медаль За безупречную службу ВМФ";"Navy Good Conduct Medal";"Navy Good Conduct Medal";"Navy Good Conduct Medal";"海\t军\t优\t良\t品\t德\t奖\t章";"海軍善行章";"Medalha de Boa Conduta da Marinha";"Медаль За бездоганну службу ВМФ";"Navy Good Conduct Medal";"Haditengerészeti jó magaviseleti érem";"해군 선행장";"Медаль За бездакорную службу ВМФ";"Medalia de bună conduită în marină";"海\t軍\t優\t良\t品\t德\t獎\t章";"  ";;
"usa_conduct_medal_navy/desc";;;;;;;;;;;;;;;;;;;;;;
"usa_conduct/name";"Army Good Conduct Medal";"Médaille de Bonne Conduite de l'Armée";"Medaglia di Buona condotta dell'Esercito";"Medaille für gute Führung in der Armee";"Medalla de buen comportamiento";"Медаль За безупречную службу в армии";"Medal za Dobrą Służbę";"Medaile za dobré vedení";"Örnek Davranış Madalyası";"陆\t军\t优\t良\t品\t德\t奖\t章";"善行章";"Good Conduct Medal";"Медаль ""За бездоганну службу"" ";"Medalja Dobrog Vladanja ";"Hadseregi jó magaviseleti érem";"선행장(Good Conduct Medal)";"Медаль «За бездакорную службу»";"Medalia de bună conduită în armată";"陸\t軍\t優\t良\t品\t德\t獎\t章";"  ";;
"usa_conduct/desc";;;;;;;;;;;;;;;;;;;;;;
"usa_conduct_medal_air/name";"Air Force Good Conduct Medal";"Médaille de bonne conduite de l'Air Force";"Medaglia alla Buona Condotta dell'Aeronautica";"Medaille für gute Führung in der Luftstreitkräfte";"Medalla de Buena Conducta de la Fuerza Aérea";"Медаль За безупречную службу ВВС";"Air Force Good Conduct Medal";"Air Force Good Conduct Medal";"Air Force Good Conduct Medal";"空\t军\t优\t良\t品\t德\t奖\t章";"空軍善行章";"Medalha de Boa Conduta da Força Aérea";"Медаль За бездоганну службу ВПС";"Air Force Good Conduct Medal";"Légierős jó magaviseleti érem";"공군 선행장";"Медаль За бездакорную службу ВПС";"Medalia de bună conduită în aviație";"空\t軍\t優\t良\t品\t德\t獎\t章";"  ";;
"usa_conduct_medal_air/desc";;;;;;;;;;;;;;;;;;;;;;
"usa_commendation_medal_navy/name";"Navy Commendation Medal";"Médaille du mérite de la Navy";"Medaglia di Elogio della Marina";"Verdienstmedaille der Marine";"Medalla de Elogio de la Armada";"Похвальная медаль ВМФ";"Medal Pamiątkowy Marynarki";"Navy Commendation Medal";"Navy Commendation Medal";"海\t军\t嘉\t奖\t奖\t章";"海軍栄誉勲章";"Medalha de Comenda da Marinha";"Похвальна медаль ВМФ";"Navy Commendation Medal";"Haditengerészeti és tengerészgyalogsági dicsérő érme";"해군포장";"Пахвальны медаль ВМФ";"Medalia de recomandare în marină";"海\t軍\t嘉\t獎\t獎\t章";"  ";;
"usa_commendation_medal_navy/desc";;;;;;;;;;;;;;;;;;;;;;
"usa_commendation_medal_army_2/name";"Army Commendation Medal";"Médaille du mérite de l'armée";"Medaglia di Elogio dell'Esercito";"Verdienstmedaille der Armee";"Medalla de Elogio del Ejército";"Похвальная медаль армии";"Medal Pamiątkowy Armii";"Army Commendation Medal";"Army Commendation Medal";"陆\t军\t嘉\t奖\t奖\t章";"陸軍栄誉勲章";"Medalha de Comenda do Exército";"Похвальна медаль армії";"Army Commendation Medal";"Hadsereg dicsérő érméje";"육군포장";"Пахвальны медаль арміі";"Medalia de recomandare în armată";"陸\t軍\t嘉\t獎\t獎\t章";"  ";;
"usa_commendation_medal_army_2/desc";;;;;;;;;;;;;;;;;;;;;;
"usa_commendation_medal_air/name";"Air Force Commendation Medal";"Médaille du mérite de l'Air Force";"Medaglia di Elogio dell'Aeronautica";"Verdienstmedaille der Lufststreitkräfte";"Medalla de Elogio de la Fuerza Aérea";"Похвальная медаль ВВС";"Medal Pamiątkowy Sił Powietrznych";"Air Force Commendation Medal";"Air Force Commendation Medal";"空\t军\t嘉\t奖\t奖\t章";"空軍栄誉勲章";"Medalha de Comenda da Força Aérea";"Похвальна медаль ВПС";"Air Force Commendation Medal";"Légierő dicsérő érméje";"공군포장";"Пахвальны медаль ВПС";"Medalia de recomandare în aviație";"空\t軍\t嘉\t獎\t獎\t章";"  ";;
"usa_commendation_medal_air/desc";;;;;;;;;;;;;;;;;;;;;;
"usa_bronze_star_2/name";"Bronze Star";"Étoile de bronze";"Stella di Bronzo";"Bronzestern";"Estrella de bronce";"Бронзовая звезда";"Brązowa Gwiazda";"Bronze Star";"Bronze Star";"铜\t星\t章";"青銅星章";"Estrela de Bronze";"Бронзова зірка";"Bronze Star";"Bronz csillag";"동성 훈장";"Бронзавая зорка";"Steaua de bronz";"銅\t星\t勳\t章";"  ";;
"usa_bronze_star_2/desc";;;;;;;;;;;;;;;;;;;;;;
"usa_air_1_class/name";"Air Medal";"Médaille de l'air de 1re classe";"Medaglia Aerea 1^ Classe";"Luftmedaille";"Medalla aérea de 1ª clase";"Воздушная медаль";"Medal Lotniczy I klasy";"Vzdušná medaile 1. třídy";"1. Sınıf Havacı Madalyası";"飞\t行\t奖\t章";"第一等航空章";"Air Medal 1st Class";"Повітряна медаль 1-го класу";"Vazdušna Medalja 1. Klase";"Légi érme";"1급 항공장(Air Medal 1st Class)";"Паветраная медаль 1-й ступені";"Medalia aerului";"航\t空\t獎\t章";"  ";;
"usa_air_1_class/desc";;;;;;;;;;;;;;;;;;;;;;
"usa_air_cross/name";"Air Force Cross";"Croix de l'Air Force";"Croce dell'Aeronautica";"Kreuz der Luftstreitkräfte";"Cruz de la Fuerza Aérea";"Крест ВВС";"Krzyż Sił Powietrznych";"Air Force Cross";"Air Force Cross";"空\t军\t十\t字\t章";"空軍十字章";"Cruz da Força Aérea";"Хрест ВПС";"Air Force Cross";"Légierős kereszt";"공군 십자 훈장";"Крыж ВПС";"Crucea Forțelor Aeriene";"空\t軍\t十\t字\t勳\t章";"  ";;
"usa_air_cross/desc";;;;;;;;;;;;;;;;;;;;;;
"raaf_war_medal/name";"War Medal 1939–1945";"Médaille de Guerre 1939-1945";"Medaglia di Guerra 1939–1945";"Kriegsmedaille 1939–1945";"Medalla de Guerra 1939–1945";"Медаль войны 1939 — 1945";"Medal za Wojnę 1939-45";"Válečná medaile 1939-1945";"1939–1945 Savaş Madalyası";"1939 - 1945 年\t战\t争\t奖\t章";"1939～1945 従軍記章";"War Medal 1939–1945";"Медаль 1939–1945";"Ratna Medalja 1939-1945";"1939–1945 Háborús Emlékérem";"1939~1945년 참전 기념장(War Medal 1939-1945)";"Медаль 1939–1945";"Medalia de război 1939–1945";"1939 - 1945 年\t戰\t爭\t獎\t章";"  ";;
"raaf_war_medal/desc";;;;;;;;;;;;;;;;;;;;;;
"raaf_victoria_cross/name";"Victoria Cross";"Croix de Victoria";"Victoria Cross";"Victoria-Kreuz";"Cruz Victoria";"Крест Виктории";"Krzyż Wiktorii";"Viktoriin kříž";"Victoria Haçı";"维\t多\t利\t亚\t十\t字\t章";"ヴィクトリア\t十字章";"Victoria Cross";"Хрест Вікторії";"Viktorijin Krst";"Viktória-kereszt";"빅토리아 십자장(Victoria Cross)";"Крыж Вікторыі";"Crucea Victoria";"維\t多\t利\t亞\t十\t字\t獎\t章";"  ";;
"raaf_victoria_cross/desc";;;;;;;;;;;;;;;;;;;;;;
"uk_service_cross_rosette/name";"Distinguished Service Cross + rosette";"Distinguished Service Cross + rosette";"Croce di Distinto Servizio + rosette";"Kreuz für herausragende Dienste mit Rosette";"Cruz por Servicio Distinguido + roseta";"Крест За доблестную службу с розеткой";"Krzyż za Wybitną Służbę z rozetą";"Distinguished Service Cross + rosette";"Distinguished Service Cross + rosette";"杰\t出\t服\t役\t十\t字\t章\t（玫\t瑰\t勋\t饰）";"殊勲十字章 + ロゼット";"Cruz de Serviço Distinto + Roseta ";"Хрест За доблесну службу з розеткою";"Distinguished Service Cross + rosette";"Kiemelkedő szolgálatért kereszt rozettával";"수훈십자장(Distinguished Service Cross) + 로제트";"Distinguished Service Cross + rosette";"Crucea serviciului distins + rozetă";"傑\t出\t十\t字\t服\t務\t獎\t章\t（玫\t瑰\t勳\t飾）";"  ";;
"uk_service_cross_rosette/desc";;;;;;;;;;;;;;;;;;;;;;
"uk_service_cross/name";"Distinguished Service Cross";"Distinguished Service Cross";"Croce di Distinto Servizio";"Kreuz für herausragende Dienste";"Cruz por Servicio Distinguido";"Крест За доблестную службу";"Krzyż za Wybitną Służbę";"Distinguished Service Cross";"Distinguished Service Cross";"杰\t出\t服\t役\t十\t字\t章";"殊勲十字章";"Cruz de Serviço Distinto";"Хрест За доблесну службу";"Distinguished Service Cross";"Kiemelkedő szolgálatért kereszt";"수훈십자장(Distinguished Service Cross)";"Distinguished Service Cross";"Crucea serviciului distins";"傑\t出\t十\t字\t服\t務\t獎\t章";"  ";;
"uk_service_cross/desc";;;;;;;;;;;;;;;;;;;;;;
"raaf_pacific/name";"Pacific Star";"Étoile du Pacifique";"Pacific Star";"Pazifik-Stern";"Estrella del Pacífico";"Тихоокеанская звезда";"Gwiazda Pacyfiku";"Tichomořská hvězda";"Pasifik Yıldızı";"太\t平\t洋\t之\t星";"太平洋星章";"Pacific Star";"Зірка Тихого океана";"Pacifička zvezda";"Csendes-óceáni csillag";"태평양 종군성장(Pacific Star)";"Ціхаакіянская зорка";"Steaua Pacificului";"太\t平\t洋\t之\t星";"  ";;
"raaf_pacific/desc";;;;;;;;;;;;;;;;;;;;;;
"uk_long_service_medal_navy/name";"Naval Long Service and Good Conduct Medal";"Médaille d'Ancienneté et de Bonne Conduite de la Marine";"Medaglia al Lungo Servizio e Buona Condotta della Marina";"Medaille für den langen Dienst und gute Führung der Marine";"Medalla Naval por Largo Servicio y Buena Conducta";"Медаль За длительную и усердную службу (15 лет ВМФ)";"Naval Long Service and Good Conduct Medal";"Naval Long Service and Good Conduct Medal";"Naval Long Service and Good Conduct Medal";"海\t军\t长\t期\t服\t役\t及\t优\t良\t品\t德\t奖\t章";"海軍長期奉仕および\t善行勲章";"Medalha Naval de Boa Conduta e Serviço Extensivo";"Медаль За тривалу і старанну службу (15 років МВФ)";"Naval Long Service and Good Conduct Medal";"Haditengerészeti hosszú szolgálati és jó magaviseleti érem";"해군 장기 근속 및 선행장";"Naval Long Service and Good Conduct Medal";"Medalia „Serviciu îndelungat și bună conduită în marină”";"海\t軍\t長\t期\t服\t務\t和\t良\t好\t行\t為\t獎\t章";"  ";;
"uk_long_service_medal_navy/desc";;;;;;;;;;;;;;;;;;;;;;
"uk_long_service_medal_army/name";"Army Long Service and Good Conduct Medal";"Médaille d'Ancienneté et de Bonne Conduite de l'Armée";"Medaglia al Lungo Servizio e Buona Condotta dell'Esercito";"Medaille für den langen Dienst und gute Führung der Armee";"Medalla del Ejército por Largo Servicio y Buena Conducta";"Медаль За длительную и усердную службу (15 лет в армии)";"Army Long Service and Good Conduct Medal";"Army Long Service and Good Conduct Medal";"Army Long Service and Good Conduct Medal";"陆\t军\t长\t期\t服\t役\t及\t优\t良\t品\t德\t奖\t章";"陸軍長期奉仕および\t善行勲章";"Medalha do Exército de Boa Conduta e Serviço Extensivo ";"Медаль За тривалу і старанну службу (15 років в армії)";"Army Long Service and Good Conduct Medal";"Hadseregi hosszú szolgálati és jó magaviseleti érem";"육군 장기 근속 및 선행장";"Army Long Service and Good Conduct Medal";"Medalia „Serviciu îndelungat și bună conduită în armată”";"陸\t軍\t長\t期\t服\t務\t和\t良\t好\t行\t為\t獎\t章";"  ";;
"uk_long_service_medal_army/desc";;;;;;;;;;;;;;;;;;;;;;
"uk_long_service_medal_air/name";"Royal Air Force Long Service and Good Conduct Medal";"Médaille d'Ancienneté et de Bonne Conduite de la Royal Air Force";"Medaglia al Lungo Servizio e Buona Condotta della RAF";"Medaille für den langen Dienst und gute Führung der Königlichen Luftstreitrkäfte";"Medalla de la Real Fuerza Aérea por Largo Servicio y Buena Conducta";"Медаль За длительную и усердную службу (15 лет ВВС)";"Royal Air Force Long Service and Good Conduct Medal";"Royal Air Force Long Service and Good Conduct Medal";"Royal Air Force Long Service and Good Conduct Medal";"皇\t家\t空\t军\t长\t期\t服\t役\t及\t优\t良\t品\t德\t奖\t章";"空軍長期奉仕および\t善行勲章";"Medalha da Força Aérea Real de Boa Conduta e Serviço Extensivo ";"Медаль За тривалу і старанну службу (15 років ВПС)";"Royal Air Force Long Service and Good Conduct Medal";"Királyi légierős hosszú szolgálati és jó magaviseleti érem";"왕립 공군 장기 근속 및 선행장";"Royal Air Force Long Service and Good Conduct Medal";"Medalia „Serviciu îndelungat și bună conduită în Forțele Aeriene Regale”";"皇\t家\t空\t軍\t長\t期\t服\t務\t和\t良\t好\t行\t為\t獎\t章";"  ";;
"uk_long_service_medal_air/desc";;;;;;;;;;;;;;;;;;;;;;
"uk_korean_medal/name";"Korea Medal";"Médaille de Corée";"Medaglia di Corea";"Koreamedaille";"Medalla de Korea";"Корейская медаль";"Medal Korei";"Korea Medal";"Korea Medal";"韩\t国\t奖\t章";"朝鮮\tメダル";"Medalha da Coreia";"Корейська медаль";"Korea Medal";"Koreai hadjáratért érme";"한국 전쟁 훈장";"Korea Medal";"Medalie Coreea";"韓\t國\t獎\t章";"  ";;
"uk_korean_medal/desc";;;;;;;;;;;;;;;;;;;;;;
"uk_italy_star/name";"Italy Star";"Étoile de l'Italie";"Stella d'Italia";"Italien-Stern";"Estrella de Italia";"Итальянская звезда";"Gwiazda Włoch";"Italy Star";"Italy Star";"意\t大\t利\t之\t星";"イタリア\t星章";"Estrela da Itália ";"Італійська зірка";"Italijanska zvezda";"Italy Star";"이탈리아지역 참전 기념 성장(Italy Star)";"Italy Star";"Medalie Italia";"意\t大\t利\t之\t星";"  ";;
"uk_italy_star/desc";;;;;;;;;;;;;;;;;;;;;;
"raaf_france_germany/name";"France and Germany Star";"France and Germany Star";"Stella Francia e Germania";"Frankreich und Deutschland Stern";"Estrella de Francia y Alemania";"Французская и Германская звезда";"Gwiazda za Francję i Niemcy";"Hvězda za Francii a Německo";"Fransa ve Almanya Yıldızı";"法\t德\t之\t星";"フランス・ドイツ\t星章";"France and Germany Star";"Зірка Франції та Німеччини";"Francuska i Nemačka zvezda";"Franciaország és Németország Érdemérem";"프랑스 및 독일 지역 참전 기념 성장(France and Germany Star)";"Зорка «За Францыю і Германію»";"Steaua Franței și Germaniei";"法\t德\t之\t星";"  ";;
"raaf_france_germany/desc";;;;;;;;;;;;;;;;;;;;;;
"uk_flying_medal/name";"Distinguished Flying Medal";"Médaille du Service Distingué dans l'Aviation";"Medaglia di Distinto Volo";"Flieger-Verdienstmedaille";"Medalla al Vuelo Distinguido";"Медаль За летные боевые заслуги";"Distinguished Flying Medal";"Distinguished Flying Medal";"Distinguished Flying Medal";"杰\t出\t飞\t行\t奖\t章";"航空殊勲章";"Medalha de Voo Distinto ";"Медаль За льотні бойові заслуги";"Distinguished Flying Medal";"Kiemelkedő repülésért érem";"공군 수훈 훈장(Distinguished Flying Medal)";"Distinguished Flying Medal";"Medalia „Zbor distins”";"傑\t出\t飛\t行\t獎\t章";"  ";;
"uk_flying_medal/desc";;;;;;;;;;;;;;;;;;;;;;
"raaf_flying_cross/name";"Distinguished Flying Cross";"Distinguished Flying Cross";"Distinguished Flying Cross";"Flieger-Verdienstkreuz";"Cruz al Vuelo Distinguido";"Крест За выдающиеся летные заслуги";"Zaszczytny Krzyż Lotniczy";"Záslužný letecký kříž";"Seçkin Uçuş Haçı";"杰\t出\t飞\t行\t十\t字\t章";"航空殊勲十字章";"Distinguished Flying Cross";"Хрест ""За видатні льотні заслуги""";"Istaknuti leteći krst";"Kiemelkedő repülésért kereszt";"공군 수훈 십자장(Distinguished Flying Cross)";"Крыж «За выдатныя лётныя заслугі»";"Crucea „Pilot remarcabil”";"傑\t出\t飛\t行\t十\t字\t勳\t章";"  ";;
"raaf_flying_cross/desc";;;;;;;;;;;;;;;;;;;;;;
"raaf_service_order/name";"Distinguished Service Order";"Ordre du Service distingué";"Distinguished Service Order";"Kriegsverdienstorden";"Orden del Servicio Distinguido";"Орден За выдающиеся заслуги";"Medal za Wybitną Służbę";"Řád za vynikající službu";"Üstün Hizmet Madalyası";"杰\t出\t服\t务\t勋\t章";"殊勲十字勲章";"Distinguished Service Order";"Орден ""За видатні заслуги""";"Istaknuti red službe";"Kiemelkedő szolgálatért érdemrend";"복무 수훈장(Distinguished Service Order)";"Ордэн «За выдатныя заслугі»";"Ordinul „Serviciu remarcabil”";"傑\t出\t服\t務\t勳\t章";"  ";;
"raaf_service_order/desc";;;;;;;;;;;;;;;;;;;;;;
"uk_conspicious_gallantry_medal/name";"Conspicuous Gallantry Medal";"Médaille pour Bravoure Remarquable";"Conspicuous Gallantry Medal";"Medaille für bemerkenswerte Tapferkeit";"Medalla a la Gallardía Eminente";"Медаль За отвагу";"Conspicuous Gallantry Medal";"Conspicuous Gallantry Medal";"Conspicuous Gallantry Medal";"显\t著\t英\t勇\t奖\t章";"殊勲武勇\tメダル";"Medalha de Bravura Notável";"Медаль за відвагу";"Conspicuous Gallantry Medal";"Conspicuous Gallantry Medal";"영국군 수훈 용맹장";"Conspicuous Gallantry Medal";"Medalia „Vitejie remarcabilă”";"傑\t出\t英\t勇\t獎\t章";"  ";;
"uk_conspicious_gallantry_medal/desc";;;;;;;;;;;;;;;;;;;;;;
"uk_conduct_medal/name";"Distinguished Conduct Medal";"Médaille pour Conduite Distinguée";"Medaglia di Distinta Condotta";"Verdienstmedialle für gute Führung";"Medalla por Conducta Distinguida";"Медаль За доблесть в бою";"Distinguished Conduct Medal";"Distinguished Conduct Medal";"Distinguished Conduct Medal";"杰\t出\t品\t德\t奖\t章";"殊勲章";"Medalha de Conduta Distinta ";"Медаль За доблесть в бою";"Distinguished Conduct Medal";"Kiemelkedő szolgálatért érem";"영국군 공로 훈장";"Distinguished Conduct Medal";"Medalia „Conduită distinsă”";"傑\t出\t品\t德\t獎\t章";"  ";;
"uk_conduct_medal/desc";;;;;;;;;;;;;;;;;;;;;;
"uk_atlantic_star/name";"Atlantic Star";"Etoile de l'Atlantique";"Stella dell'Atlantico";"Atlantikstern";"Estrella Atlántica";"Атлантическая звезда";"Gwiazda Atlantyku";"Atlantic Star";"Atlantic Star";"大\t西\t洋\t之\t星";"大西洋星章";"Estrela do Atlântico ";"Атлантична зірка";"Atlantic Star";"Atlanti csillag";"대서양 종군성장";"Atlantic Star";"Steaua Atlanticului";"大\t西\t洋\t之\t星";"  ";;
"uk_atlantic_star/desc";;;;;;;;;;;;;;;;;;;;;;
"uk_army_medal/name";"Military Medal";"Médaille militaire";"Medaglia Militare";"Militärmedaille";"Medalla Militar";"Воинская медаль";"Medal Wojskowy";"Military Medal";"Military Medal";"军\t功\t奖\t章";"軍\tメダル";"Medalha Militar";"Військова медаль";"Military Medal";"Hadiérem";"군사 훈장";"Military Medal";"Medalia militară";"軍\t功\t獎\t章";"  ";;
"uk_army_medal/desc";;;;;;;;;;;;;;;;;;;;;;
"uk_army_cross/name";"Military Cross";"Croix militaire";"Croce Militare";"Militärkreuz";"Cruz Militar";"Военный крест";"Krzyż Wojskowy";"Military Cross";"Military Cross";"军\t功\t十\t字\t章";"軍十字章";"Cruz Militar";"Військовий хрест";"Military Cross";"Hadikereszt";"무공십자장";"Military Cross";"Crucea militară";"軍\t功\t十\t字\t獎\t章";"  ";;
"uk_army_cross/desc";;;;;;;;;;;;;;;;;;;;;;
"uk_air_medal/name";"Air Force Medal";"Médaille de la Royal Air Force";"Medaglia dell'Aeronautica";"Medaille der Luftstreitkräfte";"Medalla de la Fuerza Aérea";"Медаль ВВС";"Medal Sił Powietrznych";"Air Force Medal";"Air Force Medal";"空\t军\t奖\t章";"空軍\tメダル";"Medalha da Força Aérea ";"Медаль ВПС";"Air Force Medal";"Air Force Medal";"공군 훈장";"Air Force Medal";"Medalia Forțelor Aeriene";"空\t軍\t獎\t章";"  ";;
"uk_air_medal/desc";;;;;;;;;;;;;;;;;;;;;;
"uk_air_efficiency_medal/name";"Air Efficiency Award";"Distinction pour Efficacité aérienne";"Premio di efficienza in aria";"Leistungsauszeichnung der Luftstreitkräfte";"Distinción por Eficiencia Aérea";"Медаль За длительную и усердную службу (10 лет ввс)";"Air Efficiency Award";"Air Efficiency Award";"Air Efficiency Award";"空\t军\t效\t率\t嘉\t奖";"エアエフィシエンシーアワード";"Prêmio de Eficiência Aérea ";"Медаль За тривалу і старанну службу (10 років ВПС)";"Air Efficiency Award";"Air Efficiency Award";"항공능률표창";"Air Efficiency Award";"Distincția „Eficiență în aer”";"空\t軍\t效\t率\t嘉\t獎";"  ";;
"uk_air_efficiency_medal/desc";;;;;;;;;;;;;;;;;;;;;;
"uk_air_cross/name";"Air Force Cross";"Croix de la RAF";"Croce dell'Aeronautica";"Kreuz der Luftstreitkräfte";"Cruz de la Fuerza Aérea";"Крест ВВС";"Krzyż Sił Powietrznych";"Air Force Cross";"Air Force Cross";"空\t军\t十\t字\t章";"空軍十字章";"Cruz da Força Aérea";"Хрест ВПС";"Air Force Cross";"Légierős kereszt";"공군 십자 훈장";"Air Force Cross";"Crucea Forțelor Aeriene";"空\t軍\t十\t字\t獎\t章";"  ";;
"uk_air_cross/desc";;;;;;;;;;;;;;;;;;;;;;
"uk_air_crew_europe_star/name";"Air Crew Europe Star";"Étoile de la Bataille Aérienne en Europe";"Air Crew Europe Star";"Europa-Stern derLuftbesatzungen";"Estrella de Europa al Personal Aéreo";"Звезда летных экипажей Европы";"Air Crew Europe Star";"Air Crew Europe Star";"Air Crew Europe Star";"欧\t洲\t飞\t行\t队\t之\t星";"ヨーロッパ\t航空機乗組員星章";"Estrela Europeia da Tripulação Aérea";"Зірка льотних екіпажів Європи";"Air Crew Europe Star";"Air Crew Europe Star";"유럽 공중근무자 성장(Air Crew Europe Star)";"Air Crew Europe Star";"Steaua echipajului aerian european";"歐\t洲\t飛\t行\t隊\t之\t星";"  ";;
"uk_air_crew_europe_star/desc";;;;;;;;;;;;;;;;;;;;;;
"uk_african_star/name";"Africa Star";"Etoile de l'Afrique";"Stella Africa";"Afrika-Stern";"Estrella de África";"Африканская звезда";"Gwiazda Afryki";"Africa Star";"Africa Star";"非\t洲\t之\t星";"アフリカ\t星章";"Estrela da África ";"Африканська зірка";"Africa Star";"Africa Star";"아프리카 종군성장";"Africa Star";"Steaua Africa";"非\t洲\t之\t星";"  ";;
"uk_african_star/desc";;;;;;;;;;;;;;;;;;;;;;
"raaf_39_45_star/name";"1939–45 Star";"Étoile de 1939-45";"Stella 1939–45";"1939–45 Stern";"Estrella 1939–45";"Звезда 1939-45";"Gwiazda za Wojnę 1939-45";"Hvězda 1939-1945";"1939–45 Yıldızı";"1939 - 1945 年\t之\t星";"1939～45 星章";"1939–45 Star";"Зірка 1939–45";"1939-45 Zvezda";"1939–1945 Érdemérem";"1939~45년 참전 기념장(1939-49 Star)";"Зорка 1939–45";"Steaua 1939–45";"1939 - 1945 年\t之\t星";"  ";;
"raaf_39_45_star/desc";;;;;;;;;;;;;;;;;;;;;;
"jap_wound_badge_silver/name";"Wound Badge Silver";"Insigne d'argent Blessure au combat";"Distintivo Argento per feriti";"Verwundetenabzeichen in Silber";"Insignia de Herido en Plata";"Нагрудный знак За ранение (серебряный)";"Srebrna odznaka za rany odniesione w boju";"Wound Badge Silver";"Wound Badge Silver";"军\t人\t伤\t痍\t记\t章\t甲\t种\t战\t伤";"戦傷章 銀";"Distintivo de Ferido Prata";"Нагрудний знак За поранення (срібний)";"Wound Badge Silver";"Sebesülési jelvény ezüst fokozat";"전상장 은장";"Wound Badge Silver";"Insigna de argint a rănitului";"軍\t人\t傷\t痍\t記\t章\t甲\t種\t戰\t傷";"  ";;
"jap_wound_badge_silver/desc";;;;;;;;;;;;;;;;;;;;;;
"jap_wound_badge_gold/name";"Wound Badge Gold";"Insigne d'or Blessure au combat";"Distintivo d'Oro per feriti";"Verwundetenabzeichen in Gold";"Insignia de Herido en Oro";"Нагрудный знак За ранение (золотой)";"Złota odznaka za rany odniesione w boju";"Wound Badge Gold";"Wound Badge Gold";"军\t人\t伤\t痍\t记\t章\t甲\t种\t战\t伤\t（准\t士\t官）";"戦傷章 金";"Distintivo de Ferido Ouro";"Нагрудний знак За поранення (золотий)";"Wound Badge Gold";"Sebesülési jelvény arany fokozat";"전상장 금장";"Wound Badge Gold";"Insigna de aur a rănitului";"軍\t人\t傷\t痍\t記\t章\t甲\t種\t戰\t傷\t（準\t士\t官）";"  ";;
"jap_wound_badge_gold/desc";;;;;;;;;;;;;;;;;;;;;;
"jap_torpedoman_badge/name";"Torpedo Firing Proficiency Badge";"Insigne ""compétence de tir de torpille""";"Distintivo di competenza nel lancio di siluri";"Abzeichen für tüchtige Torpedosoldaten";"Insignia de Competencia en Lanzamiento de Torpedos";"Нагрудный знак торпедиста";"Torpedo Firing Proficiency Badge";"Torpedo Firing Proficiency Badge";"Torpedo Firing Proficiency Badge";"鱼\t型\t水\t雷\t照\t准\t手\t优\t等\t章";"魚雷発射優等徽章";"Distintivo de Proficiência em Torpedeamento ";"Нагрудний знак торпедист";"Torpedo Firing Proficiency Badge";"Torpedo Firing Proficiency Badge";"어뢰사격 우수 배지";"Torpedo Firing Proficiency Badge";"Insigna eficienței de tragere cu torpile";"魚\t型\t水\t雷\t照\t準\t手\t優\t等\t章";"  ";;
"jap_torpedoman_badge/desc";;;;;;;;;;;;;;;;;;;;;;
"jap_tanker_badge/name";"Tank driver Badge";"Insigne de Conducteur de char";"Distintivo pilota di carri";"Abzeichen für Panzerfahrer";"Insignia de Conductor de Tanque";"Нагрудный знак танкиста для рядового состава";"Odznaka kierowcy czołgu";"Tank driver Badge";"Tank driver Badge";"战\t车\t操\t纵\t徽\t章";"戦車操縦徽章";"Distintivo Condutor de Blindado";"Нагрудний знак танкіста для рядового складу";"Tank driver Badge";"Harckocsizó jelvény";"전차 조종수 배지";"Tank driver Badge";"Insigna șoferului tanchist";"戰\t車\t操\t縱\t徽\t章";"  ";;
"jap_tanker_badge/desc";;;;;;;;;;;;;;;;;;;;;;
"jap_tank_gun_badge/name";"Tank gun shooting Badge";"Insigne de Tireur de char";"Distintivo di sparo per carristi";"Abzeichen für Panzerschützen";"Insignia de Tiro de Cañón de Tanque";"Нагрудный знак танкиста для унтер-офицеров";"Tank gun shooting Badge";"Tank gun shooting Badge";"Tank gun shooting Badge";"战\t车\t射\t击\t徽\t章";"戦車砲発射徽章";"Distintivo Artilheiro de Blindado ";"Нагрудний знак танкіста для унтер-офіцерів";"Tank gun shooting Badge";"Harckocsilövészeti jelvény";"전차 포수 배지";"Tank gun shooting Badge";"Insigna trăgătorului tanchist";"戰\t車\t射\t擊\t徽\t章";"  ";;
"jap_tank_gun_badge/desc";;;;;;;;;;;;;;;;;;;;;;
