<ID|readonly|noverify>;<English>;<French>;<Italian>;<German>;<Spanish>;<Russian>;<Polish>;<Czech>;<Turkish>;<Chinese>;<HChinese>;<TChinese>;<Japanese>;<Portuguese>;<Vietnamese>;<Ukrainian>;<Serbian>;<Korean>;<Hungarian>;<Belarusian>;<Romanian>;<Comments>
hide_to_tray_option_info;Hide launcher to system tray whenever close button is pressed;Minimise le launcher dans la barre des tâches quand le bouton de fermeture est pressé;Nascondi il launcher a icona di sistema quando viene premuto il tasto chiudi;Falls aktiviert, wird der Launcher während des Downloads nur in der Info-Leiste des Systems angezeigt.;Ocultar el iniciador en la bandeja del sistema siempre que se presione el botón Cerrar;Прятать окно лончера в системный трей при клике на кнопку закрытия;Ukryj launcher w zasobniku podczas zamykania okna.;Skryje launcher na systémovou lištu pokaždé, když je stisknuto tlačítko Zavřít;Kapat butonuna tıklandığında başlatıcıyı sistem çubuğuna gizle;按下关闭时隐藏到系统托盘;按下关闭时隐藏到系统托盘;每當按下關閉按鈕時，將啟動器隱藏到系統托盤;閉じるボタンを押した時はランチャーをシステムトレイに隠す;Esconder inicializador para o sistema continuar o download sempre quer pressionar o botão de encerrar;Hide launcher to system tray whenever close button is pressed;Ховати вікно лончера в системний трей при натисканні на кнопку закриття;Sakrij launcher u sistemske prečice svaki put kad pritisneš dugme za zatvaranje;언제라도 닫기 버튼을 누르면 론처가 시스템 트레이로 사라집니다;Indítópult rendszertálcára helyezése bezárás esetén;Хаваць акно лаўнчара ў сістэмны трэй пасля націскання на кнопку закрыцця;Ascunde lansatorul în zona de notificări la apăsarea butonului de închidere;
startup_with_windows;Continue download when OS starts;Continuer le téléchargement au démarrage de l'ordinateur;Continua il download all'avvio del SO;Download bei Systemstart fortsetzen;Continuar descarga cuando se inicia el sistema operativo;Продолжать загрузку при старте OS;Kontynuuj pobieranie podczas startu systemu;Pokračovat ve stahování po startu OS;İşletim Sistemi başlatıldığında indirmeye devam et;系统启动后继续下载;系统启动后继续下载;作業系統啟動時繼續下載;OSがスタートしたらダウンロードを続行する;Continuar download quando o Sistema Operativo iniciar;Continue download when OS starts;Продовжувати завантаження під час старту ОС;Nastaviti skidanje kada se OS pokrene;OS 시작 시 이어서 다운로드;Letöltés folytatása rendszerindításkor;Працягваць спампаванне пасля запуску аперацыйнай сістэмы;Continuă descărcarea la pornirea sistemului de operare;
hide_to_tray_update;Run launcher hidden to tray;Démarrez le lanceur en arrière-plan;Avvia il launcher nascosto a icona;Den Launcher versteckt im Infobereich ausführen;Ejecutar el lanzador oculto en la barra;Запускать лончер скрытым в трей;Uruchom launcher ukryty na pasku zadań;Spusť launcher minimalizovaný do lišty;İstemciyi tepside gizli çalıştır;将启动器保持在后台运行;关闭面板时最小化到系统托盘 ;執行隱藏在通知區域的啟動器;トレイに格納してランチャーを実行;Executar launcher oculto;Chạy trình khởi chạy ẩn dưới khay;Запускати лончер прихованим у трей;Pokreni pokretač skriven na paleti;작업 표시줄에 숨겨진 런처 실행;Indítsa a tálcán rejtett indítóprogramot;Запусціць лаўнчэр схаваным у трэй;Pornește lansatorul ca ascuns în tava de sistem;
startup_with_windows_info;If download was not completed, launcher will start with Windows next time to finish the download;En cas de téléchargement incomplet, le launcher démarrera avec Windows la prochaine fois pour terminer.;Se il download non è completato, il launcher verrà avviato assieme a Windows alla prossima accensione;Falls aktiviert, wird ein noch nicht abgeschlossener Download mit dem nächsten Start des Betriebssystems automatisch wiederaufgenommen.;Continuar descarga cuando se inicia el sistema operativo;Если игра не была загружена окончательно, лончер запустится при старте Windows, чтобы завершить загрузку.;Jeśli pobieranie nie zostało ukończone, launcher wznowi pobieranie przy starcie systemu.;Pokud nebylo stahování dokončeno, launcher se automaticky spustí se startem Windows, aby stahování dokončil;Eğer indirme tamamlanmamışsa, Windows açıldığında başlatıcı otomatik olarak açılıp indirmeye devam edecek;若下载尚未完成，则会在下次启动 Windows 时自动启动并完成下载;若下载尚未完成，则会在下次启动 Windows 时自动启动并完成下载;If download was not completed launcher will start with Windows next time to finish the download;If download was not completed launcher will start with Windows next time to finish the download;Se o download não for concluido, o inicializador iniciará com o Windows a próxima vez para terminar o download;If download was not completed launcher will start with Windows next time to finish the download;Якщо гра не була завантажена остаточно лончер запуститься при старті Windows щоб завершити завантаження;Ako skidanje nije završeno, pokretač igre će se startovati pri sledećem uključenju sistema kako bi se završilo skidanje.;다운로드가 완료되지 않은 경우 다음에 Windows가 시작할 때 론처가 다운로드를 완료합니다;Ha a letöltés nem készült el, az indítópult a következő rendszerindításkor el fog indulni a letölés befejezése érdekében.;Калі гульня не спампавалася цалкам, лаўнчар запусціцца пасля запуску Windows, каб завяршыць спампаванне.;Dacă descărcarea nu s-a finalizat, lansatorul va fi pornit automat după pornirea sistemului pentru a finaliza descărcarea;
yuplay/check_updates;Check updates;Vérif. mises à jour;Controlla aggiornamenti;Nach Updates suchen;Comprobar si hay actualizaciones;Проверять обновления;Sprawdzaj aktualizacje;Zkontrolovat aktualizace;Güncellemeleri kontrol et;检查更新;检查更新;檢查更新;アップデートのチェック;Verificar atualizações;Kiểm tra cập nhật;Перевіряти оновлення;Proveri ažuriranja;업데이트 확인;Frissítések keresése;Правяраць абнаўленні;Verificare actualizări;
yuplay/not_loggedin;To get updates, you need to log in via Gaijin.Net;Pour obtenir les mises à jour, connectez-vous via Gaijin.Net;Per ottenere gli aggiornamenti occorre accedere tramite Gaijin.Net;Um Updates herunterzuladen, musst du dich über Gaijin.Net anmelden;Para obtener actualizaciones debes conectarte a través de Gaijin.Net.;Для получения обновлений вам необходимо войти под своим Gaijin.Net-аккаунтом.;By uzyskać dostęp do aktualizacji, musisz zalogować się w Gaijin.Net.;Abyste získali aktualizace, musíte se přihlásit ke službě Gaijin.Net;Güncellemeleri almak için Gaijin.Net üzerinden giriş yapmış olmalısınız;需通过 Gaijin.Net 登录才能获取更新。;需通过 Gaijin.Net 登录才能获取更新。;需通過 Gaijin.Net 登錄才能獲取更新。;アップデートを入手するには、Gaijin.Net でログインする必要があります。;Para obter atualizações precisa de iniciar via Gaijin.Net;Để cập nhật bạn cần phải đăng nhập thông qua Gaijin.Net;Для отримання оновлень Вам необхідно увійти під своїм Gaijin.Net-аккаунтом;Da biste dobli ažuriranja, morate biti prijavljeni preko Gaijin.Net servisa;업데이트를 받으려면 Gaijin.Net를 통해 로그인해야 합니다;A frissítések letöltéséhez be kell jelentkezned a Gaijin.Net-en keresztül;Каб атрымаць абнаўленні, увайдзіце праз свой акаўнт Gaijin.Net.;Pentru a obține actualizări trebuie să te conectezi prin Gaijin.Net;
yuplay/login;Log in;Connexion;Accedi;Anmelden;Iniciar sesión;Войти;Zaloguj się;Přihlásit se;Oturum aç;登录;登录;登錄;ログイン;Entrar;Đăng nhập;Увійти;Prijavi se;로그인;Bejelentkezés;Увайсці;Conectare;
yuplay/force_login;Change user;Changer utilisateur;Cambia utente;Benutzer wechseln;Cambiar usuario;Сменить пользователя;Zmień użytkownika;Změnit uživatele;Kullanıcı değiştir;切换用户;切换用户;切換使用者;ユーザーの変更;Mudar utilizador;Thay đổi người dùng;Змінити користувача;Promeni korisnika;사용자 변경;Felhasználóváltás;Змяніць карыстальніка;Schimbare utilizator;
yuplay/hello;Hello,;Bonjour,;Ciao,;Hallo,;Hola,;Привет,;Witaj,;Dobrý den,;Merhaba,;你好：;你好：;你好：;こんにちは、;Olá,;Xin chào,;Привіт,;Pozdrav,;안녕하세요;Helló!;Вітаем,;Salut,;
yuplay/activation;Activation code;Code d'activation;Codice di attivazione;Aktivierungsschlüssel;Código de activación;Активационный код;Kod aktywacyjny;Aktivační kód;Aktivasyon kodu;激活码;激活码;啟動碼;アクティベーションコード;Código de ativação;Mã kích hoạt;Активаційний код;Aktivacioni kod;활성화 코드;Aktiválókód;Код актывацыі;Cod de activare;
yuplay/activate;Activate game;Activer le jeu;Attiva gioco;Spiel aktivieren;Activar juego;Активировать игру;Aktywuj grę;Aktivovat hru;Oyunu etkinleştir;激活游戏;激活游戏;開通遊戲;ゲームのアクティブ化;Ativar jogo;Kích hoạt trò chơi;Активувати гру;Aktiviraj igru;게임 활성화;Játék aktiválása;Актываваць гульню;Activare joc;
yuplay/code;Activation code;Code d'activation;Codice di attivazione;Aktivierungsschlüssel;Código de activación;Код активации;Kod aktywacyjny;Aktivační kód;Aktivasyon kodu;激活码;激活码;啟動碼;アクティベーションコード;Código de ativação;Mã kích hoạt;Код активації;Aktivacioni kod;활성화 코드;Aktiválókód;Код актывацыі;Cod de activare;
yuplay/checking;Checking activation code, please wait...;Vérification du code d'activation, veuillez patienter.;Attendere, verifica codice di attivazione;Aktivierungsschlüssel wird überprüft. Bitte warten ...;Comprobando código de activación, espera un instante.;Пожалуйста, подождите. Проверка кода активации…;Sprawdzanie kodu aktywacyjnego, proszę czekać;Probíhá kontrola aktivačního kódu, čekejte prosím;Aktivasyon kodu kontrol ediliyor, lütfen bekleyin;正在核对激活码，请稍候;正在核对激活码，请稍候;正在核對啟動碼，請稍候;アクティベーションコードをチェックしています、お待ち下さい。;Verificando código de ativação, por favor aguarde;Đang kiểm tra mã kích hoạt, vui lòng đợi;Будь ласка, зачекайте. Перевірка коду активації...;Proveravanje aktivacionog koda, molimo sačekajte...;활성화 코드 확인 중입니다. 기다려주십시오...;Aktiválókód ellenőrzése... Kérlek, várj...;Пачакайце, ідзе праверка кода актывацыі…;Se verifică codul de activare, așteaptă...;
yuplay/remember;Remember me;Se souvenir de moi;Memorizza account;Login speichern;Recordarme;Запомнить меня;Zapamiętaj mnie;Zapamatovat;Beni hatırla;记住用户信息;记住用户信息;記住使用者訊息;覚えておく;Relembrar-me;Nhớ tài khoản;Запам'ятати мене;Zapamti me;로그인 정보 저장;Emlékezz rám;Запомніць мяне;Memorează-mă;
yuplay/yupass;Password;Mot de passe;Password;Passwort;Contraseña;Пароль;Hasło;Heslo;Parola;密码;密码;密碼;パスワード;Senha;Mật khẩu;Пароль;Šifra;비밀번호;Jelszó;Пароль;Parola;
yuplay/checking_version;Checking game updates, please wait...;Vérification des mises à jour, veuillez patienter...;Attendere, controllo aggiornamenti per il gioco...;Suche nach Updates. Bitte warten...;Comprobando actualizaciones del juego, espera...;Поиск обновлений для игры, пожалуйста, подождите...;Wyszukiwanie aktualizacji, proszę czekać...;Probíhá kontrola aktualizací hry, čekejte prosím...;Oyun güncellemeleri kontrol ediliyor, lütfen bekleyin...;正在检查游戏更新，请稍候;正在检查游戏更新，请稍候;正在檢查遊戲更新，請稍候;ゲームのアップデートをチェックしています、お待ち下さい...;Verificando atualizações de jogo, por favor aguarde...;Đang kiểm tra cập nhật, vui lòng đợi…;Пошук оновлень для гри, будь ласка, зачекайте...;Proveravanje ažuriranja igre, molimo sačekajte...;게임 업데이트 확인 중입니다. 기다려주십시오...;Frissítések keresése... Kérlek, várj...;Пошук абнаўленняў гульні, пачакайце...;Se verifică dacă sunt actualizări disponibile, așteaptă...;
yuplay/fast_check_more;and %d other files;et %d des autres fichiers;e %d altri file;Und %d weitere Dateien;y otros %d archivos;и %d других файлов;i inne pliki (%d);a %d dalších souborů;ve %d dosya daha;和另外 %d 个文件;和另外 %d 个文件;和另外 %d 個檔案;および %d のその他のファイル;e %d outros ficheiros;và %d các tệp tin khác;та %d інших файлів;i %d drugih fajlova;및 다른 파일 %d개;és %d további fájl;і %d іншых файлаў;și alte %d fișiere;
yuplay/fast_check_fail;Some files need to be updated or have been corrupted:;Certains fichiers doivent être mis à jour ou ont été corrompus :;Alcuni file sono obsoleti o danneggiati:;Einige Dateien müssen aktualisiert werden oder wurden beschädigt:;Algunos archivos deben actualizarse o están dañados:;Некоторые файлы нуждаются в обновлении или были повреждены:;Niektóre pliki muszą zostać zaktualizowane lub zostały uszkodzone;Některé soubory je třeba aktualizovat, nebo došlo k jejich poškození:;Bazı dosyaların güncellenmesi gerekli yada hasarlı dosyalar var:;部分文件需要更新或已损坏：;部分文件需要更新或已损坏：;部分檔案需要更新或已損毀：;一部のファイルは、更新する必要があるか、壊れています：;Alguns ficheiros precisam de ser atualizados ou estão corrompidos:;Một số tệp tin cần được cập nhật hoặc đã bị hỏng:;Деякі файли пошкоджені або потребують оновлення:;Neki fajlovi se moraju ažurirati ili su postali neispravni:;일부 파일을 업데이트해야 하거나 파일이 손상됐습니다.;Néhány fájl frissítésére vagy javítására van szükség:;Некаторыя файлы патрабуецца абнавіць або яны пашкоджаны:;Unele fișiere trebuie să fie actualizate sau au fost corupte:;
yuplay/fast_check_fail2;Update files right now?;Mettre à jour les fichiers maintenant ?;Aggiornare subito i file?;Dateien jetzt aktualisieren?;¿Deseas actualizar ahora los archivos?;Обновить файлы?;Chcesz teraz zaktualizować pliki?;Aktualizovat soubory nyní?;Dosyalar şimdi güncellensin mi?;立即更新文件？;立即更新文件？;立即更新檔案？;すぐにファイルを更新しますか?;Atualizar ficheiros agora?;Cập nhật tệp tin ngay?;Оновити файли?;Ažuriraj fajlove sad?;지금 파일을 업데이트하시겠습니까?;Szeretnéd most frissíteni a fájlokat?;Абнавіць файлы?;Actualizezi fișierele acum?;
yuplay/fast_check_caption;Fast file check;Vérification rapide de fichiers;Verifica rapida file;Schnelle Dateiprüfung;Comprobación rápida de archivos;Быстрая проверка файлов;Szybkie sprawdzenie plików;Rychlá kontrola souborů;Hızlı dosya kontrolü;快速检查文件;快速检查文件;快速檢查檔案;高速ファイルチェック;Verificação rápida dos ficheiros;Kiểm tra tệp tin nhanh;Швидка перевірка файлів;Brza provera fajlova;고속 파일 검사;Gyors fájlellenőrzés;Хуткая праверка файлаў;Verificare rapidă fișiere;
yuplay/do_check_files;Effect full file check;Effectuer une vérification complète des fichiers;Verifica file completa;Vollständige Dateiprüfung;Realizar comprobación completa de archivos;Выполнить полную проверку файлов;Przeprowadź pełne sprawdzanie plików;Provést úplnou kontrolu souborů;Etkili tam dosya kontrolü;执行全面文件检查;执行全面文件检查;執行全部檔案檢查;フルファイルチェックを実行する;Verificação completa dos ficheiros;Kiểm tra tệp tin hoàn chỉnh;Виконати повну перевірку файлів;Izvrši potpunu proveru fajlova;전체 파일 검사 효과;Teljes fájlellenőrzés végrehajtása;Выканаць поўную праверку файлаў;Efectuare verificare completă fișiere;
yuplay/checking_files;Checking files, please wait...;Vérification des fichiers, veuillez patienter...;Attendere, verifica dei file...;Überprüfe Dateien. Bitte warten...;Comprobando archivos, espera...;Идёт проверка файлов, пожалуйста, подождите...;Sprawdzanie plików, proszę czekać...;Probíhá kontrola souborů, čekejte prosím...;Dosyalar inceleniyor, lütfen bekleyin...;正在检查文件，请稍候;正在检查文件，请稍候;正在檢查檔案，请稍後;ファイルをチェックしています、お待ち下さい...;Verificando ficheiros, por favor aguarde...;Đang kiểm tra tệp tin, vui lòng đợi…;Йде перевірка файлів, будь ласка, зачекайте...;Skeniranje fajlova, molimo sačekajte...;파일 검사 중입니다. 기다려주십시오...;Fájlok ellenőrzése... Kérlek, várj...;Ідзе праверка файлаў, пачакайце...;Se verifică fișierele, așteaptă...;
yuplay/check_fail2;Would you like to download correct versions of the files?;Voulez-vous télécharger la bonne version des fichiers ?;Scaricare la versione corretta dei file?;Sollen die korrekten Dateiversionen heruntergeladen werden?;¿Deseas descargar las versiones correctas de los archivos?;Вы хотите загрузить правильные версии файлов?;Czy chcesz pobrać poprawne wersje plików?;Chcete stáhnout správnou verzi souborů?;Dosyaların doğru sürümlerin indirmek ister misin?;是否下载正确版本的文件？;是否下载正确版本的文件？;是否下載正確版本的檔案？;正しいバージョンのファイルをダウンロードしますか?;Deseja descarregar a versão correta dos ficheiros?;Bạn có muốn tải phiên bản đúng của các tệp tin?;Бажаєте завантажити правильні версії фалів?;Da li želite da skinete ispravljene verzije fajlova?;올바른 버전의 파일을 다운로드하시겠습니까?;Szeretnéd letölteni a fájlok megfelelő verzióit?;Ці хочаце спампаваць правільныя версіі файлаў?;Dorești să descarci versiunile corecte ale fișierelor?;
yuplay/check_caption;File check;Vérification de fichiers;Verifica file;Dateiprüfung;Comprobación de archivos;Проверка файлов;Sprawdzanie plików...;Kontrola souborů;Dosya kontrolü;文件检查;文件检查;檔案檢查;ファイルチェック;Verificação de ficheiros;Kiểm tra tệp tin;Перевірка файлів;Provera fajlova;파일 검사;Fájlellenőrzés;Праверка файлаў;Verificare fișiere;
yuplay/before_download;Preparing to download...;Préparation du téléchargement...;Preparazione del download...;Bereite Download vor...;Preparando descarga...;Подготовка к загрузке...;Przygotowywanie do pobrania...;Příprava ke stažení...;İndirmeye hazırlanılıyor...;正在准备下载;正在准备下载;正在準備下載;ダウンロードの準備中...;Preparando para descarregar;Chuẩn bị để tải…;Підготовка до завантаження ... ;Priprema za skidanje...;다운로드 준비 중...;Letöltés előkészítése...;Падрыхтоўка да спампавання...;Pregătire descărcare...;
yuplay/fake_connection;Establishing connections...;Connexion en cours...;Connessione in corso...;Stelle Verbindungen her...;Estableciendo conexiones...;Установка соединений...;Nawiązywanie połączenia...;Navazuji spojení...;Bağlantı kuruluyor...;正在建立连接;正在建立连接;正在建立連線……;接続を確立しています...;Estabelecendo conexões...;Establishing connections...;Встановлення з'єднань ... ;Konektovanje...;연결 중...;Kapcsolatok létrehozása...;Падлучэнне...;Stabilire conexiuni...;
yuplay/downloading;Downloading files...;Téléchargement des fichiers...;Download dei file...;Dateien werden heruntergeladen...;Descargando archivos...;Загрузка файлов...;Pobieranie plików...;Stahování souborů...;Dosyalar indiriliyor...;正在下载文件;正在下载文件;正在下載檔案;ファイルをダウンロードしています...;Descarregando ficheiros...;Đang tải tệp tin…;Завантаження файлів...;Skidanje fajlova...;파일 다운로드 중...;Fájlok letöltése...;Спампоўванне файлаў...;Descărcare fișiere...;
yuplay/analyzing_files;Analyzing files...;Analyse des fichiers...;Analisi dei file...;Analysiere Dateien...;Analizando archivos...;Анализ файлов...;Analizowanie plików...;Analýza souborů...;Dosyalar analiz ediliyor...;正在分析文件;正在分析文件;正在分析檔案;ファイルを解析しています...;Analisando ficheiros...;Đang phân tích tệp tin…;Аналіз файлів...;Analiziranje fajlova...;파일 분석 중...;Fájlok elemzése...;Аналіз файлаў...;Analizare fișiere...;
yuplay/do_download_files;Download lost or updated files;Télécharger les fichiers perdus ou mettre à jour;Download smarrito o file aggiornati;Fehlende oder aktualisierte Dateien herunterladen;Descargar archivos perdidos o actualizados;Загрузить потерянные или обновлённые файлы;Pobierz utracone lub zaktualizowane pliki;Stáhnout ztracené nebo aktualizované soubory;Kayıp veya güncellenen dosyaları indir;下载缺失或需要更新的文件;下载缺失或需要更新的文件;下載缺失或需要更新的檔案;無くなったファイル、または更新されたファイルのダウンロード;Descarregar ficheiros perdidos ou atualizados;Tải các tệp tin bị mất hoặc cập nhật;Завантажити втрачені або оновлені файли;Skini izgubljene ili ažurirane fajlove;손실되거나 업데이트된 파일 다운로드;Hiányzó vagy frissített fájlok letöltése;Спампаваць страчаныя або абноўленыя файлы;Descărcare pierdută sau fișiere actualizate;
yuplay/download_complete;The game is up to date;Téléchargement terminé;Download completato;Download abgeschlossen;Descarga completa;Вы используете последнюю версию игры;Pobieranie ukończone;Stahování dokončeno;Tam sürümü indir;下载完成;下载完成;下載完成;ダウンロード完了;Download completo;Tải xuống hoàn tất;Ви використовуєте останню версію гри.;Skidanje završeno;다운로드 완료;Letöltés befejezve;Вы карыстаецеся актуальнай версіяй гульні.;Descărcare finalizată;
yuplay/update_found;New game version available. Download it now?;Nouvelle version du jeu disponible. La télécharger maintenant ?;Nuova versione del gioco disponibile. Scaricarla ora?;Neue Spielversion verfügbar. Jetzt herunterladen?;Hay disponible una nueva versión del juego. ¿Deseas descargarla ahora?;Доступна новая версия игры. Загрузить?;Dostępna jest nowa wersja gry. Chcesz ją teraz pobrać?;K dispozici je nová verze hry. Chcete ji nyní stáhnout?;Yeni oyun sürümü mevcut. Şimdi indirilsin mi?;检测到新的游戏版本，要立刻下载吗？;检测到新的游戏版本，要立刻下载吗？;偵測到新的遊戲版本，要立刻下載嗎？;新しいバージョンのゲームが利用可能です。すぐにダウンロードしますか?;Nova versão de jogo disponível. Descarregar agora?;Phiên bản mới đã sẵn sàng. Tải về ngay?;Доступна нова версія гри. Завантажити?;Nova vezija igre je dostupna. Skinuti sad?;새로운 게임 버전을 사용할 수 있습니다. 지금 다운로드하시겠습니까?;Új játékverzió elérhető. Letöltöd most?;Новая версія даступна. Спампаваць яе?;Este disponibilă o versiuen nouă. O descarci acum?;
yuplay/uninstall_fail;Some files have not been deleted:;Certains fichiers n'ont pas été supprimés :;Alcuni file non sono stati eliminati:;Einige Dateien wurden nicht entfernt:;Algunos archivos no se han eliminado:;Некоторые файлы не были удалены:;Niektóre pliki nie zostały usunięte:;Některé soubory nebyly odstraněny:;Bazı dosyalar silinmedi:;以下文件未被删除：;以下文件未被删除：;以下檔案未被刪除：;一部のファイルが削除されていません:;Alguns ficheiros não foram apagados:;Một số tệp tin đã không bị xóa:;Деякі файли не були видалені: ;Neki fajlovi nisu obrisani:;일부 파일이 삭제되지 않았습니다.;Néhány fájl nem került törlésre:;Некаторыя файлы не выдалены:;Unele fișiere nu au fost șterse:;
yuplay/uninstall_more;and %d other files;et %d des autres fichiers;e %d altri file;Und %d weitere Dateien;y otros %d archivos;и %d других файлов;i inne pliki (%d);a %d dalších souborů;ve %d dosya daha;和另外 %d 个文件;和另外 %d 个文件;和另外 %d 個檔案;および %d のその他のファイル;e %d outros ficheiros;và % các tệp tin khác;та %d інших файлів;i %d drugih fajlova;및 다른 파일 %d개;és %d további fájl;і %d іншых файлаў;și alte %d fișiere;
yuplay/uninstall;Uninstall;Désinstaller;Rimuovi;Deinstallieren;Desinstalar;Удаление игры;Odinstaluj;Odinstalovat;Kaldır;卸载;卸载;移除;アンインストール;Desinstalar;Gỡ bỏ;Видалення гри;Obriši;설치 제거;Eltávolítás;Выдаліць гульню;Dezinstalare;
yuplay/removing_files;Removing files, please wait...;Suppression des fichiers, veuillez patienter...;Attendere, rimozione dei file...;Entferne Dateien. Bitte warten...;Eliminando archivos, espera...;Идёт удаление файлов, пожалуйста, подождите...;Usuwanie plików, proszę czekać...;Odebírání souborů, čekejte prosím...;Dosyalar siliniyor, lütfen bekleyin...;正在删除文件，请稍候;正在删除文件，请稍候;正在删除檔案，請稍候;ファイルを削除しています、お待ち下さい...;Removendo ficheiros, por favor aguarde...;Đang xóa tệp tin, vui lòng đợi…;Йде видалення файлів, будь ласка, зачекайте...;Brisanje fajlova, molimo sačekajte...;파일 삭제 중입니다. 기다려주십시오...;Fájlok eltávolítása... Kérlek, várj...;Ідзе выдаленне файлаў, пачакайце...;Eliminare fișiere, așteaptă...;
yuplay/downloading_yup;Downloading update info...;Téléchargement d'informations de mise à jour...;Download delle informazioni sull'aggiornamento...;Update-Informationen herunterladen...;Descargando información de actualización...;Загрузка информации об обновлении...;Pobieranie informacji o aktualizacji...;Stahování informací o aktualizaci...;Güncelleme bilgileri indiriliyor...;正在获取更新信息;正在获取更新信息;正在獲取更新資訊;アップデート情報をダウンロードしています...;Descarregando informação da atualização...;Đang tải thông tin cập nhật...;Завантаження інформації про оновлення...;Skidanje informacija za ažuriranje...;업데이트 정보 다운로드 중...;Frissítési információ letöltése...;Спампоўванне інфармацыі аб абнаўленні...;Descărcare informații actualizare...;
yuplay/copying;Copying files...;Copie des fichiers...;Files in copia...;Kopiere Dateien...;Copiando documentos…;Копирование файлов...;Kopiowanie plików;Kopírování souborů…;Başka bir işlem devam etiği için dosya kontrolü yapılamıyor;正在复制文件;正在复制文件;正在複製檔案……;ファイルをコピーしています...;Copiando ficheiros...;Copying files...;Копіювання файлів...;Kopiranje datoteka...;파일 복사 중...;Fájlok másolása...;Капіраванне файлаў...;Copiere fișiere...;
yuplay/err_torrent_stop_timeout_caption;Launcher;Launcher;Launcher di Launcher;Launcher;Lanzador de Launcher;Программа обновления Launcher;Program startowy;Launcher;Başlatıcı;启动器;启动器;啟動器;ランチャー;Inicializador do Launcher;Launcher;Програма оновлення Launcher;pokretač igre;런처;Indítópult;Лаўнчар Launcher;Lansator;
yuplay/err_torrent_stop_timeout;Launcher could not finalize downloaded files. Do you want to restart it and run file check?;Le launcher n'a pas réussi à finaliser le téléchargement. Voulez vous redémarrer le jeu et vérifier les fichiers?;Il launcher non può finalizzare i files scaricati. Vuoi riavviare e controllare i file?;Der Launcher konnte die heruntergeladenen Dateien nicht finalisieren. Soll der Launcher jetzt neu gestartet und mit einer Dateiprüfung begonnen werden?;Launcher no pudo finalizar los archivos descargados. ¿Desea reiniciarlo y ejecutar la verificación de archivos?;Программе обновления не удалось полностью записать скачанные файлы на диск. Хотите перезапустить лончер и начать проверку файлов?;Launcher nie mógł sfinalizować pobierania plików. Czy chcesz go uruchomić ponownie i sprawdzić pliki?;Launcher nemohl dokončit stahování souborů. Chcete ho restartovat a spustit kontrolu souborů?;Başlatıcı indirilen dosyaları tamamlayamıyor. Yeniden başlatmak ve dosya kontrolü yapmak ister misiniz?;启动器无法确认已下载的文件，是否要重新启动并检查文件？;启动器无法确认已下载的文件，是否要重新启动并检查文件？;啟動器無法完成下載的檔案。是否要重新啟動它並執行檔案檢查？;ランチャーはダウンロードしたファイルをファイナライズできませんでした。再起動してファイルチェックを実行しますか？;O inicializador não pode finalizar o download dos ficheiros. Deseja reinicia-lo e correr a verificação de ficheiros?;Launcher could not finalize downloaded files. Do you want to restart it and run file check?;Програмі оновлення не вдалося повністю записати завантажені файли на диск. Хочете запустити лончер і почати перевірку файлів?;Pokretač igre nije uspeo u potpunosti da snimi skinute fajlove na disk. Da li želite da pokrenete pokretač igre ponovo i počnete proveru fajlova?;런처를 통해 다운로드한 파일을 정리하는 데 실패하였습니다. 런처를 재시작하여 파일을 다시 체크하시겠습니까?;Az indítópult nem tudta véglegesíteni a letöltött fájlokat. Szeretnéd újraindítani és futtatni a fájlellenőrzést?;Лаўнчару не ўдалося завяршыць спампаванне файлаў. Ці хочаце перазапусціць лаўнчар і выканаць праверку файлаў?;Lansatorul nu a putut finaliza descărcarea fișierelor. Dorești să-l repornești și să verifici fișierele?;
yuplay/err_access_rights;Not enough access rights to perform this operation.;Droits d'accès insuffisants pour effectuer cette opération.;Diritti di accesso insufficienti per eseguire questa operazione.;Unzureichende Zugriffsrechte zur Durchführung dieses Vorgangs.;No tienes suficientes derechos de acceso para realizar esta operación.;Недостаточно прав для выполнения операции.;Nie masz wystarczających uprawnień, żeby przeprowadzić tę operację;K provedení této operace nemáte dostatečná oprávnění.;Bu işlemi gerçekleştirmek için yeterli erişim hakkın yok.;权限不足，无法执行此操作。;权限不足，无法执行此操作。;權限不足，無法執行此操作。;この操作を実行できる、十分なアクセス権がありません。;Direitos de acesso insuficientes para fazer esta operação.;Không đủ quyền truy cập để thực hiện hành động này.;Недостатньо прав для виконання операції.;Nemate pravo pristupa kako biste izvršili ovu operaciju.;이 작업을 수행할 권한이 충분하지 않습니다.;Nincs hozzáférésed a művelet végrehajtásához.;Недастаткова паўнамоцтваў, каб выканаць аперацыю.;Nu există suficiente drepturi pentru a executa această operație.;
yuplay/err_free_space;Not enough disk space.;Espace disque insuffisant;Spazio su disco insufficiente.;Unzureichender Festplatten-Speicherplatz.;No hay espacio suficiente en disco.;Недостаточно дискового пространства.;Zbyt mało miejsca na dysku;Nedostatek místa na disku;Yeterli disk alanı yok.;磁盘空间不足。;磁盘空间不足。;硬碟空間不足。;ディスクスペースが不足しています。;Espaço no disco insuficiente.;Khổng đủ dung lượng ổ đĩa.;Недостатньо вільного місця на диску.;Nemate dovoljno prostora na disku.;디스크 공간이 부족합니다.;Nincs elég szabad hely a merevlemezen.;Замала месца на дыску.;Nu există suficient spațiu liber.;
